Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,22039.00,1453.00,4919.00,860.00,1893.00
2021-W47,39880.00,2896.00,10194.00,1701.00,3867.00
2021-W46,50061.00,4273.00,15357.00,2433.00,5734.00
2021-W45,56573.00,5775.00,21255.00,3162.00,7485.00
2021-W44,60646.00,7428.00,28169.00,3976.00,8729.00
2021-W43,65814.00,9431.00,36257.00,4933.00,9634.00
2021-W42,68013.00,11797.00,45766.00,5947.00,10625.00
2021-W41,68635.00,14605.00,56081.00,7058.00,11749.00
2021-W40,69131.00,19000.00,74936.00,8821.00,13050.00
2021-W39,70006.00,27131.00,108771.00,11923.00,14823.00
2021-W38,70924.00,37302.00,151040.00,16209.00,16723.00
2021-W37,72017.00,53976.00,213487.00,22645.00,19062.00
2021-W36,74131.00,88195.00,330023.00,33558.00,22707.00
2021-W35,77405.00,140434.00,535266.00,54060.00,28182.00
2021-W34,81827.00,223082.00,807528.00,116579.00,42097.00
2021-W33,84683.00,268465.00,985784.00,216074.00,62522.00
2021-W32,86018.00,299924.00,1081869.00,313476.00,101625.00
2021-W31,86798.00,319327.00,1134019.00,360160.00,125446.00
2021-W30,87312.00,329361.00,1162330.00,384985.00,138772.00
2021-W29,87580.00,335085.00,1186234.00,404926.00,151509.00
2021-W28,87796.00,340339.00,1219121.00,427118.00,172141.00
2021-W27,87906.00,341976.00,1228773.00,434357.00,179895.00
2021-W26,87978.00,343500.00,1237522.00,441326.00,186995.00
2021-W25,88118.00,347143.00,1264938.00,464761.00,216031.00
2021-W24,88269.00,350566.00,1294923.00,492372.00,256073.00
2021-W23,88468.00,354351.00,1323595.00,532931.00,344902.00
2021-W22,88676.00,359337.00,1349622.00,558250.00,469298.00
2021-W21,88774.00,365920.00,1383996.00,585870.00,627805.00
2021-W20,88886.00,371589.00,1422131.00,610961.00,758441.00
2021-W19,88957.00,374639.00,1445380.00,623444.00,831474.00
2021-W18,89025.00,376351.00,1457717.00,629919.00,917926.00
2021-W17,89087.00,377029.00,1462660.00,633126.00,971674.00
2021-W16,89116.00,377367.00,1465077.00,635035.00,975704.00
2021-W15,89136.00,377547.00,1466040.00,635703.00,978831.00
2021-W14,89145.00,377789.00,1467044.00,636282.00,989342.00
2021-W13,89151.00,377905.00,1467633.00,636661.00,1003547.00
2021-W12,89153.00,378013.00,1468481.00,637174.00,1011318.00
2021-W11,89155.00,378165.00,1469705.00,637710.00,1015543.00
2021-W10,89166.00,378768.00,1473984.00,639757.00,1057583.00
2021-W09,89171.00,379338.00,1479207.00,642357.00,1098613.00
2021-W08,89173.00,380101.00,1486189.00,645763.00,1153951.00
2021-W07,89179.00,380693.00,1491401.00,647969.00,1176357.00
2021-W06,89183.00,381261.00,1499803.00,650920.00,1190992.00
2021-W05,89184.00,381821.00,1507775.00,653992.00,1207046.00
2021-W04,89185.00,381888.00,1508651.00,654535.00,1224923.00
2021-W03,89185.00,381893.00,1508736.00,654616.00,1226806.00
2021-W02,89185.00,381896.00,1508758.00,654620.00,1226829.00
2021-W01,89185.00,381897.00,1508771.00,654631.00,1226832.00
2020-W53,89185.00,381897.00,1508771.00,654631.00,1226832.00
2020-W52,89185.00,381897.00,1508771.00,654631.00,1226832.00
2020-W51,89185.00,381897.00,1508771.00,654631.00,1226832.00
2020-W50,89185.00,381897.00,1508771.00,654631.00,1226832.00
