Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,8036.00,9232.00,37397.00,7758.00,9067.00
2021-W48,22137.00,25674.00,108937.00,21768.00,22492.00
2021-W47,33920.00,41191.00,181957.00,35649.00,35318.00
2021-W46,46587.00,55218.00,245222.00,48295.00,48585.00
2021-W45,54898.00,65813.00,290303.00,57289.00,57837.00
2021-W44,65391.00,76068.00,337747.00,66944.00,68027.00
2021-W43,78124.00,87719.00,390731.00,77896.00,79754.00
2021-W42,95042.00,98493.00,440039.00,88218.00,91977.00
2021-W41,115537.00,109271.00,488546.00,98687.00,104784.00
2021-W40,136692.00,120731.00,540045.00,109724.00,118507.00
2021-W39,153079.00,134374.00,599477.00,123177.00,135040.00
2021-W38,171960.00,149979.00,668647.00,139295.00,154040.00
2021-W37,191374.00,165700.00,739833.00,156506.00,175473.00
2021-W36,212298.00,183640.00,819417.00,176413.00,200235.00
2021-W35,242131.00,206611.00,919794.00,201755.00,231019.00
2021-W34,276510.00,234316.00,1045636.00,234722.00,269261.00
2021-W33,310620.00,264267.00,1179399.00,269711.00,312102.00
2021-W32,344284.00,296494.00,1324281.00,308604.00,359436.00
2021-W31,389207.00,337730.00,1506872.00,358547.00,419779.00
2021-W30,445018.00,395983.00,1758290.00,426800.00,500177.00
2021-W29,525797.00,475608.00,2113709.00,523339.00,617094.00
2021-W28,645668.00,601374.00,2629206.00,660684.00,779584.00
2021-W27,765325.00,755303.00,3241720.00,836343.00,994916.00
2021-W26,858062.00,878239.00,3797716.00,1012762.00,1258647.00
2021-W25,890838.00,1025926.00,4497880.00,1216991.00,1624166.00
2021-W24,898954.00,1149759.00,5239703.00,1401776.00,2020595.00
2021-W23,901991.00,1212658.00,6000414.00,1649379.00,2507836.00
2021-W22,902346.00,1254548.00,6526806.00,1966145.00,2984685.00
2021-W21,902629.00,1298258.00,6856327.00,2308105.00,3535868.00
2021-W20,902850.00,1321953.00,7069525.00,2493291.00,4112343.00
2021-W19,902949.00,1336979.00,7285081.00,2643564.00,4667633.00
2021-W18,903039.00,1342662.00,7417044.00,2718527.00,5037478.00
2021-W17,903115.00,1346239.00,7508433.00,2770106.00,5339589.00
2021-W16,903170.00,1348181.00,7538842.00,2801883.00,5611379.00
2021-W15,903185.00,1348813.00,7546312.00,2810838.00,5805968.00
2021-W14,903196.00,1349086.00,7548955.00,2812221.00,5833422.00
2021-W13,903207.00,1349544.00,7552473.00,2813744.00,5908938.00
2021-W12,903215.00,1350419.00,7559718.00,2817176.00,6106512.00
2021-W11,903227.00,1351529.00,7567482.00,2820600.00,6271885.00
2021-W10,903244.00,1353296.00,7577376.00,2824969.00,6429210.00
2021-W09,903271.00,1356673.00,7593987.00,2832035.00,6645860.00
2021-W08,903301.00,1362261.00,7617753.00,2842353.00,6862126.00
2021-W07,903334.00,1370850.00,7664906.00,2864734.00,7073014.00
2021-W06,903466.00,1380410.00,7734722.00,2901856.00,7157089.00
2021-W05,903572.00,1401077.00,7852475.00,2968630.00,7206032.00
2021-W04,903680.00,1407886.00,7923634.00,3014057.00,7237861.00
2021-W03,903714.00,1408872.00,7945612.00,3028858.00,7247979.00
2021-W02,903714.00,1408955.00,7945949.00,3029007.00,7248062.00
2021-W01,903714.00,1408955.00,7945958.00,3029013.00,7248067.00
2020-W53,903714.00,1408955.00,7945959.00,3029014.00,7248068.00
2020-W52,903714.00,1408955.00,7945959.00,3029014.00,7248068.00
2020-W51,903714.00,1408955.00,7945959.00,3029014.00,7248068.00
2020-W50,903714.00,1408955.00,7945959.00,3029014.00,7248068.00
