Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,1,"4,372",3663,"9,232","37,397","7,758","9,067"
2021-W48,0,1,"12,064",10072,"25,674","108,937","21,768","22,492"
2021-W47,0,2,"18,657",15261,"41,191","181,957","35,649","35,318"
2021-W46,0,2,"25,796",20789,"55,218","245,222","48,295","48,585"
2021-W45,0,3,"30,529",24366,"65,813","290,303","57,289","57,837"
2021-W44,0,4,"36,668",28719,"76,068","337,747","66,944","68,027"
2021-W43,1,7,"43,999",34117,"87,719","390,731","77,896","79,754"
2021-W42,2,8,"54,085",40947,"98,493","440,039","88,218","91,977"
2021-W41,2,8,"66,692",48835,"109,271","488,546","98,687","104,784"
2021-W40,2,9,"79,547",57134,"120,731","540,045","109,724","118,507"
2021-W39,2,9,"89,010",64058,"134,374","599,477","123,177","135,040"
2021-W38,2,9,"100,193",71756,"149,979","668,647","139,295","154,040"
2021-W37,2,9,"111,077",80286,"165,700","739,833","156,506","175,473"
2021-W36,2,9,"122,506",89781,"183,640","819,417","176,413","200,235"
2021-W35,2,9,"138,782",103338,"206,611","919,794","201,755","231,019"
2021-W34,2,9,"157,043",119456,"234,316","1,045,636","234,722","269,261"
2021-W33,3,9,"174,965",135643,"264,267","1,179,399","269,711","312,102"
2021-W32,5,9,"192,293",151977,"296,494","1,324,281","308,604","359,436"
2021-W31,5,11,"215,090",174101,"337,730","1,506,872","358,547","419,779"
2021-W30,6,17,"243,102",201893,"395,983","1,758,290","426,800","500,177"
2021-W29,6,18,"280,945",244828,"475,608","2,113,709","523,339","617,094"
2021-W28,6,18,"335,303",310341,"601,374","2,629,206","660,684","779,584"
2021-W27,6,23,"381,190",384106,"755,303","3,241,720","836,343","994,916"
2021-W26,7,31,"418,559",439465,"878,239","3,797,716","1,012,762","1,258,647"
2021-W25,7,31,"418,825",471975,"1,025,926","4,497,880","1,216,991","1,624,166"
2021-W24,8,33,"418,903",480010,"1,149,759","5,239,703","1,401,776","2,020,595"
2021-W23,9,35,"419,009",482938,"1,212,658","6,000,414","1,649,379","2,507,836"
2021-W22,9,35,"419,016",483286,"1,254,548","6,526,806","1,966,145","2,984,685"
2021-W21,9,35,"419,018",483567,"1,298,258","6,856,327","2,308,105","3,535,868"
2021-W20,10,35,"419,020",483785,"1,321,953","7,069,525","2,493,291","4,112,343"
2021-W19,10,35,"419,024",483880,"1,336,979","7,285,081","2,643,564","4,667,633"
2021-W18,13,35,"419,024",483967,"1,342,662","7,417,044","2,718,527","5,037,478"
2021-W17,14,35,"419,026",484040,"1,346,239","7,508,433","2,770,106","5,339,589"
2021-W16,15,37,"419,027",484091,"1,348,181","7,538,842","2,801,883","5,611,379"
2021-W15,16,37,"419,027",484105,"1,348,813","7,546,312","2,810,838","5,805,968"
2021-W14,16,37,"419,027",484116,"1,349,086","7,548,955","2,812,221","5,833,422"
2021-W13,16,38,"419,027",484126,"1,349,544","7,552,473","2,813,744","5,908,938"
2021-W12,17,38,"419,027",484133,"1,350,419","7,559,718","2,817,176","6,106,512"
2021-W11,17,38,"419,027",484145,"1,351,529","7,567,482","2,820,600","6,271,885"
2021-W10,17,38,"419,028",484161,"1,353,296","7,577,376","2,824,969","6,429,210"
2021-W09,17,38,"419,028",484188,"1,356,673","7,593,987","2,832,035","6,645,860"
2021-W08,19,38,"419,030",484214,"1,362,261","7,617,753","2,842,353","6,862,126"
2021-W07,19,38,"419,030",484247,"1,370,850","7,664,906","2,864,734","7,073,014"
2021-W06,19,38,"419,031",484378,"1,380,410","7,734,722","2,901,856","7,157,089"
2021-W05,19,38,"419,031",484484,"1,401,077","7,852,475","2,968,630","7,206,032"
2021-W04,19,38,"419,031",484592,"1,407,886","7,923,634","3,014,057","7,237,861"
2021-W03,19,38,"419,031",484626,"1,408,872","7,945,612","3,028,858","7,247,979"
2021-W02,19,38,"419,031",484626,"1,408,955","7,945,949","3,029,007","7,248,062"
2021-W01,19,38,"419,031",484626,"1,408,955","7,945,958","3,029,013","7,248,067"
2020-W53,19,38,"419,031",484626,"1,408,955","7,945,959","3,029,014","7,248,068"
2020-W52,19,38,"419,031",484626,"1,408,955","7,945,959","3,029,014","7,248,068"
2020-W51,19,38,"419,031",484626,"1,408,955","7,945,959","3,029,014","7,248,068"
2020-W50,19,38,"419,031",484626,"1,408,955","7,945,959","3,029,014","7,248,068"
