Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,871.00,1081.00,3129.00,491.00,795.00
2021-W48,3119.00,3528.00,9853.00,1413.00,2473.00
2021-W47,4802.00,5706.00,15966.00,2282.00,3966.00
2021-W46,6791.00,8119.00,22346.00,3130.00,5420.00
2021-W45,8887.00,10935.00,29617.00,4135.00,6847.00
2021-W44,11116.00,13480.00,35611.00,4942.00,8036.00
2021-W43,13821.00,16879.00,43225.00,5951.00,10506.00
2021-W42,17927.00,22880.00,56157.00,7809.00,14041.00
2021-W41,24677.00,30593.00,72424.00,10038.00,17777.00
2021-W40,35667.00,40057.00,90022.00,12559.00,21898.00
2021-W39,52928.00,51570.00,111402.00,16069.00,26916.00
2021-W38,94649.00,70325.00,143712.00,20698.00,33304.00
2021-W37,221669.00,123034.00,210684.00,26139.00,39534.00
2021-W36,384501.00,201660.00,274495.00,29372.00,42328.00
2021-W35,494679.00,302274.00,355243.00,34211.00,46777.00
2021-W34,498640.00,346178.00,435369.00,40931.00,51911.00
2021-W33,500233.00,420740.00,581197.00,51937.00,58222.00
2021-W32,500666.00,503469.00,819290.00,71415.00,71321.00
2021-W31,500891.00,560053.00,1203291.00,115196.00,95580.00
2021-W30,501298.00,582717.00,1557952.00,177945.00,155902.00
2021-W29,501590.00,602441.00,1902525.00,265903.00,229168.00
2021-W28,501920.00,610362.00,2220075.00,355255.00,336351.00
2021-W27,502591.00,615520.00,2368443.00,540223.00,619927.00
2021-W26,502879.00,618657.00,2430895.00,686280.00,841651.00
2021-W25,503182.00,621734.00,2487842.00,838950.00,975864.00
2021-W24,503524.00,626415.00,2573864.00,1004587.00,1109913.00
2021-W23,503699.00,629379.00,2606368.00,1069155.00,1262300.00
2021-W22,503825.00,632103.00,2630673.00,1136827.00,1508507.00
2021-W21,503866.00,635431.00,2649407.00,1199842.00,1754304.00
2021-W20,503894.00,637928.00,2671728.00,1243973.00,1907113.00
2021-W19,503941.00,643371.00,2772530.00,1316078.00,2036043.00
2021-W18,503959.00,644236.00,2780888.00,1322535.00,2241625.00
2021-W17,503989.00,644430.00,2782067.00,1324360.00,2329628.00
2021-W16,504004.00,644551.00,2783112.00,1325650.00,2467439.00
2021-W15,504017.00,644668.00,2784138.00,1326113.00,2521280.00
2021-W14,504023.00,644879.00,2785674.00,1326817.00,2573313.00
2021-W13,504037.00,644997.00,2787054.00,1327385.00,2656907.00
2021-W12,504049.00,645181.00,2788942.00,1328106.00,2676565.00
2021-W11,504072.00,645587.00,2792419.00,1329792.00,2781749.00
2021-W10,504097.00,646240.00,2798833.00,1332962.00,2823956.00
2021-W09,504127.00,647294.00,2808950.00,1337330.00,2842373.00
2021-W08,504160.00,648003.00,2816365.00,1341017.00,2851453.00
2021-W07,504176.00,649755.00,2835477.00,1350321.00,2871865.00
2021-W06,504242.00,652839.00,2866497.00,1366536.00,2921269.00
2021-W05,504246.00,653787.00,2879109.00,1373149.00,2938780.00
2021-W04,504249.00,655434.00,2905404.00,1382298.00,2947630.00
2021-W03,504250.00,656636.00,2927170.00,1388728.00,2950973.00
2021-W02,504250.00,656695.00,2927990.00,1388947.00,2951101.00
2021-W01,504250.00,656699.00,2928080.00,1388958.00,2951120.00
2020-W53,504250.00,656700.00,2928091.00,1388959.00,2951124.00
2020-W52,504250.00,656700.00,2928092.00,1388959.00,2951124.00
2020-W51,504250.00,656700.00,2928092.00,1388959.00,2951124.00
2020-W50,504250.00,656700.00,2928092.00,1388959.00,2951124.00
