Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,578,293,"1,081","3,129",491,795
2021-W48,0,2,"2,095",1022,"3,528","9,853","1,413","2,473"
2021-W47,0,2,"3,229",1571,"5,706","15,966","2,282","3,966"
2021-W46,0,3,"4,610",2178,"8,119","22,346","3,130","5,420"
2021-W45,0,3,"6,011",2873,"10,935","29,617","4,135","6,847"
2021-W44,0,3,"7,484",3629,"13,480","35,611","4,942","8,036"
2021-W43,0,3,"9,284",4534,"16,879","43,225","5,951","10,506"
2021-W42,2,3,"11,954",5968,"22,880","56,157","7,809","14,041"
2021-W41,2,3,"16,347",8325,"30,593","72,424","10,038","17,777"
2021-W40,3,3,"23,314",12347,"40,057","90,022","12,559","21,898"
2021-W39,3,3,"33,960",18962,"51,570","111,402","16,069","26,916"
2021-W38,3,3,"59,863",34780,"70,325","143,712","20,698","33,304"
2021-W37,4,3,"138,826",82836,"123,034","210,684","26,139","39,534"
2021-W36,5,3,"238,115",146378,"201,660","274,495","29,372","42,328"
2021-W35,5,4,"239,524",255146,"302,274","355,243","34,211","46,777"
2021-W34,6,4,"240,309",258321,"346,178","435,369","40,931","51,911"
2021-W33,6,4,"240,765",259458,"420,740","581,197","51,937","58,222"
2021-W32,6,4,"240,785",259871,"503,469","819,290","71,415","71,321"
2021-W31,6,5,"240,805",260075,"560,053","1,203,291","115,196","95,580"
2021-W30,6,5,"240,831",260456,"582,717","1,557,952","177,945","155,902"
2021-W29,6,5,"240,861",260718,"602,441","1,902,525","265,903","229,168"
2021-W28,7,5,"240,906",261002,"610,362","2,220,075","355,255","336,351"
2021-W27,7,5,"240,926",261653,"615,520","2,368,443","540,223","619,927"
2021-W26,8,5,"240,936",261930,"618,657","2,430,895","686,280","841,651"
2021-W25,8,7,"240,960",262207,"621,734","2,487,842","838,950","975,864"
2021-W24,8,7,"240,988",262521,"626,415","2,573,864","1,004,587","1,109,913"
2021-W23,8,8,"241,018",262665,"629,379","2,606,368","1,069,155","1,262,300"
2021-W22,8,9,"241,040",262768,"632,103","2,630,673","1,136,827","1,508,507"
2021-W21,9,9,"241,040",262808,"635,431","2,649,407","1,199,842","1,754,304"
2021-W20,9,9,"241,040",262836,"637,928","2,671,728","1,243,973","1,907,113"
2021-W19,9,9,"241,041",262882,"643,371","2,772,530","1,316,078","2,036,043"
2021-W18,10,9,"241,042",262898,"644,236","2,780,888","1,322,535","2,241,625"
2021-W17,10,9,"241,042",262928,"644,430","2,782,067","1,324,360","2,329,628"
2021-W16,10,9,"241,042",262943,"644,551","2,783,112","1,325,650","2,467,439"
2021-W15,10,9,"241,043",262955,"644,668","2,784,138","1,326,113","2,521,280"
2021-W14,10,9,"241,043",262961,"644,879","2,785,674","1,326,817","2,573,313"
2021-W13,10,9,"241,043",262975,"644,997","2,787,054","1,327,385","2,656,907"
2021-W12,10,9,"241,043",262987,"645,181","2,788,942","1,328,106","2,676,565"
2021-W11,10,9,"241,043",263010,"645,587","2,792,419","1,329,792","2,781,749"
2021-W10,10,9,"241,043",263035,"646,240","2,798,833","1,332,962","2,823,956"
2021-W09,10,9,"241,043",263065,"647,294","2,808,950","1,337,330","2,842,373"
2021-W08,10,9,"241,043",263098,"648,003","2,816,365","1,341,017","2,851,453"
2021-W07,10,9,"241,043",263114,"649,755","2,835,477","1,350,321","2,871,865"
2021-W06,10,9,"241,044",263179,"652,839","2,866,497","1,366,536","2,921,269"
2021-W05,10,9,"241,044",263183,"653,787","2,879,109","1,373,149","2,938,780"
2021-W04,10,9,"241,044",263186,"655,434","2,905,404","1,382,298","2,947,630"
2021-W03,10,9,"241,044",263187,"656,636","2,927,170","1,388,728","2,950,973"
2021-W02,10,9,"241,044",263187,"656,695","2,927,990","1,388,947","2,951,101"
2021-W01,10,9,"241,044",263187,"656,699","2,928,080","1,388,958","2,951,120"
2020-W53,10,9,"241,044",263187,"656,700","2,928,091","1,388,959","2,951,124"
2020-W52,10,9,"241,044",263187,"656,700","2,928,092","1,388,959","2,951,124"
2020-W51,10,9,"241,044",263187,"656,700","2,928,092","1,388,959","2,951,124"
2020-W50,10,9,"241,044",263187,"656,700","2,928,092","1,388,959","2,951,124"
