Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1025.00,510.00,1347.00,141.00,73.00
2021-W48,4052.00,2190.00,5520.00,555.00,303.00
2021-W47,7718.00,4085.00,10124.00,988.00,561.00
2021-W46,12032.00,6094.00,14994.00,1520.00,893.00
2021-W45,14436.00,7492.00,18556.00,1893.00,1126.00
2021-W44,17278.00,8649.00,21477.00,2172.00,1315.00
2021-W43,21042.00,10089.00,24821.00,2481.00,1500.00
2021-W42,26041.00,12608.00,29248.00,2894.00,1802.00
2021-W41,32471.00,14621.00,33728.00,3280.00,2128.00
2021-W40,41220.00,17404.00,39403.00,3724.00,2609.00
2021-W39,56420.00,21862.00,47203.00,4390.00,3116.00
2021-W38,89426.00,27381.00,57435.00,5257.00,3710.00
2021-W37,143324.00,35079.00,69865.00,6215.00,4479.00
2021-W36,205515.00,44626.00,83656.00,7249.00,5313.00
2021-W35,245037.00,66641.00,107265.00,8535.00,6214.00
2021-W34,278760.00,108055.00,142876.00,10510.00,7642.00
2021-W33,287513.00,169021.00,215324.00,12335.00,9172.00
2021-W32,288691.00,191536.00,346201.00,14544.00,10698.00
2021-W31,289455.00,203871.00,465648.00,17441.00,13064.00
2021-W30,290180.00,222478.00,593858.00,20425.00,16504.00
2021-W29,290757.00,251560.00,711551.00,24814.00,20321.00
2021-W28,291279.00,282791.00,861242.00,39044.00,66691.00
2021-W27,292421.00,304177.00,1007916.00,60508.00,164708.00
2021-W26,292920.00,311291.00,1121483.00,89314.00,262855.00
2021-W25,293565.00,321322.00,1204354.00,176659.00,355240.00
2021-W24,294078.00,331783.00,1271522.00,317480.00,409485.00
2021-W23,294656.00,337393.00,1307523.00,398104.00,428247.00
2021-W22,295093.00,345133.00,1359193.00,443660.00,444113.00
2021-W21,295234.00,352607.00,1415877.00,499532.00,467561.00
2021-W20,295562.00,354937.00,1432393.00,552523.00,526446.00
2021-W19,296020.00,355669.00,1437618.00,557560.00,622552.00
2021-W18,296090.00,355828.00,1439073.00,559065.00,677563.00
2021-W17,296130.00,355933.00,1439757.00,559512.00,727643.00
2021-W16,296261.00,356106.00,1441320.00,560205.00,775829.00
2021-W15,296273.00,356237.00,1442106.00,560581.00,817697.00
2021-W14,296286.00,356334.00,1442761.00,560973.00,859670.00
2021-W13,296290.00,356485.00,1443798.00,561483.00,910022.00
2021-W12,296292.00,356701.00,1445261.00,562294.00,952354.00
2021-W11,296295.00,356952.00,1447328.00,563313.00,970028.00
2021-W10,296297.00,357385.00,1451324.00,565362.00,975621.00
2021-W09,296299.00,357883.00,1455386.00,567077.00,977360.00
2021-W08,296300.00,358337.00,1459361.00,568809.00,980641.00
2021-W07,296320.00,360379.00,1475738.00,576415.00,998494.00
2021-W06,296320.00,360525.00,1478610.00,577503.00,999219.00
2021-W05,296333.00,362668.00,1499414.00,586998.00,1011303.00
2021-W04,296335.00,365096.00,1527714.00,597329.00,1016630.00
2021-W03,296335.00,365263.00,1530226.00,598098.00,1016919.00
2021-W02,296335.00,365263.00,1530239.00,598101.00,1016920.00
2021-W01,296335.00,365264.00,1530247.00,598102.00,1016924.00
2020-W53,296340.00,365282.00,1530329.00,598124.00,1016980.00
2020-W52,296340.00,365282.00,1530329.00,598124.00,1016980.00
2020-W51,296340.00,365282.00,1530329.00,598124.00,1016980.00
2020-W50,296340.00,365282.00,1530329.00,598124.00,1016980.00
