Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,677,348,510,"1,347",141,73
2021-W48,0,0,"2,690",1362,"2,190","5,520",555,303
2021-W47,0,0,"5,079",2639,"4,085","10,124",988,561
2021-W46,0,0,"7,899",4133,"6,094","14,994","1,520",893
2021-W45,0,0,"9,386",5050,"7,492","18,556","1,893","1,126"
2021-W44,0,0,"11,195",6083,"8,649","21,477","2,172","1,315"
2021-W43,0,0,"13,607",7435,"10,089","24,821","2,481","1,500"
2021-W42,0,0,"16,684",9357,"12,608","29,248","2,894","1,802"
2021-W41,0,0,"20,660",11811,"14,621","33,728","3,280","2,128"
2021-W40,0,0,"26,088",15132,"17,404","39,403","3,724","2,609"
2021-W39,0,0,"35,484",20936,"21,862","47,203","4,390","3,116"
2021-W38,1,0,"57,119",32306,"27,381","57,435","5,257","3,710"
2021-W37,3,1,"92,985",50335,"35,079","69,865","6,215","4,479"
2021-W36,3,1,"130,545",74966,"44,626","83,656","7,249","5,313"
2021-W35,3,1,"142,082",102951,"66,641","107,265","8,535","6,214"
2021-W34,3,1,"142,346",136410,"108,055","142,876","10,510","7,642"
2021-W33,3,1,"142,395",145114,"169,021","215,324","12,335","9,172"
2021-W32,3,1,"142,423",146264,"191,536","346,201","14,544","10,698"
2021-W31,3,1,"142,430",147021,"203,871","465,648","17,441","13,064"
2021-W30,3,1,"142,476",147700,"222,478","593,858","20,425","16,504"
2021-W29,3,2,"142,484",148268,"251,560","711,551","24,814","20,321"
2021-W28,3,2,"142,499",148775,"282,791","861,242","39,044","66,691"
2021-W27,3,2,"142,916",149500,"304,177","1,007,916","60,508","164,708"
2021-W26,3,2,"142,930",149985,"311,291","1,121,483","89,314","262,855"
2021-W25,3,2,"142,938",150622,"321,322","1,204,354","176,659","355,240"
2021-W24,5,2,"142,939",151132,"331,783","1,271,522","317,480","409,485"
2021-W23,5,2,"142,942",151707,"337,393","1,307,523","398,104","428,247"
2021-W22,5,2,"142,942",152144,"345,133","1,359,193","443,660","444,113"
2021-W21,5,2,"142,943",152284,"352,607","1,415,877","499,532","467,561"
2021-W20,5,2,"142,944",152611,"354,937","1,432,393","552,523","526,446"
2021-W19,5,2,"142,945",153068,"355,669","1,437,618","557,560","622,552"
2021-W18,5,2,"142,945",153138,"355,828","1,439,073","559,065","677,563"
2021-W17,5,2,"142,946",153177,"355,933","1,439,757","559,512","727,643"
2021-W16,5,2,"142,946",153308,"356,106","1,441,320","560,205","775,829"
2021-W15,5,2,"142,946",153320,"356,237","1,442,106","560,581","817,697"
2021-W14,5,2,"142,946",153333,"356,334","1,442,761","560,973","859,670"
2021-W13,5,2,"142,946",153337,"356,485","1,443,798","561,483","910,022"
2021-W12,5,2,"142,946",153339,"356,701","1,445,261","562,294","952,354"
2021-W11,5,2,"142,946",153342,"356,952","1,447,328","563,313","970,028"
2021-W10,5,2,"142,946",153344,"357,385","1,451,324","565,362","975,621"
2021-W09,5,2,"142,946",153346,"357,883","1,455,386","567,077","977,360"
2021-W08,5,2,"142,946",153347,"358,337","1,459,361","568,809","980,641"
2021-W07,5,2,"142,946",153367,"360,379","1,475,738","576,415","998,494"
2021-W06,5,2,"142,946",153367,"360,525","1,478,610","577,503","999,219"
2021-W05,5,2,"142,947",153379,"362,668","1,499,414","586,998","1,011,303"
2021-W04,5,2,"142,947",153381,"365,096","1,527,714","597,329","1,016,630"
2021-W03,5,2,"142,947",153381,"365,263","1,530,226","598,098","1,016,919"
2021-W02,5,2,"142,947",153381,"365,263","1,530,239","598,101","1,016,920"
2021-W01,5,2,"142,947",153381,"365,264","1,530,247","598,102","1,016,924"
2020-W53,5,2,"142,950",153383,"365,282","1,530,329","598,124","1,016,980"
2020-W52,5,2,"142,950",153383,"365,282","1,530,329","598,124","1,016,980"
2020-W51,5,2,"142,950",153383,"365,282","1,530,329","598,124","1,016,980"
2020-W50,5,2,"142,950",153383,"365,282","1,530,329","598,124","1,016,980"
