Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,11374.00,13853.00,51926.00,19957.00,30306.00
2021-W47,31532.00,34186.00,130339.00,52337.00,84842.00
2021-W46,60656.00,67331.00,265810.00,110093.00,168453.00
2021-W45,80684.00,95659.00,393906.00,165296.00,247434.00
2021-W44,92857.00,122023.00,499702.00,206939.00,299893.00
2021-W43,103375.00,167539.00,680965.00,275547.00,366279.00
2021-W42,110817.00,197311.00,805764.00,324553.00,414108.00
2021-W41,115913.00,215571.00,874407.00,348013.00,436026.00
2021-W40,118879.00,231219.00,931601.00,366453.00,452501.00
2021-W39,121824.00,245861.00,980627.00,381572.00,464808.00
2021-W38,124942.00,257850.00,1016937.00,392536.00,473855.00
2021-W37,128193.00,264984.00,1040749.00,400216.00,481316.00
2021-W36,130635.00,270529.00,1061311.00,406643.00,487899.00
2021-W35,132850.00,276568.00,1086255.00,414483.00,495305.00
2021-W34,135434.00,283680.00,1118747.00,424564.00,504502.00
2021-W33,137967.00,290751.00,1152916.00,434990.00,514292.00
2021-W32,140747.00,297659.00,1187160.00,445930.00,525083.00
2021-W31,143489.00,304809.00,1221744.00,456983.00,536128.00
2021-W30,146593.00,312312.00,1256957.00,468397.00,548463.00
2021-W29,149719.00,319667.00,1291073.00,479877.00,561914.00
2021-W28,152871.00,326565.00,1321842.00,490715.00,575518.00
2021-W27,156666.00,334634.00,1355137.00,502918.00,591413.00
2021-W26,163602.00,344868.00,1396461.00,518731.00,612832.00
2021-W25,175256.00,358755.00,1449149.00,540608.00,642780.00
2021-W24,179393.00,376019.00,1518003.00,569776.00,683734.00
2021-W23,183719.00,400912.00,1618369.00,613461.00,741679.00
2021-W22,188888.00,438656.00,1766936.00,677079.00,820204.00
2021-W21,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W20,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W19,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W18,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W17,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W16,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W15,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W14,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W13,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W12,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W11,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W10,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W09,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W08,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W07,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W06,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W05,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W04,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W03,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W02,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2021-W01,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2020-W53,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2020-W52,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2020-W51,206803.00,634422.00,3137283.00,1355075.00,2188370.00
2020-W50,206803.00,634422.00,3137283.00,1355075.00,2188370.00
