Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,582.00,662.00,2765.00,743.00,1075.00
2021-W48,1862.00,2626.00,10186.00,2849.00,3294.00
2021-W47,3325.00,6418.00,24434.00,6428.00,6512.00
2021-W46,4284.00,9739.00,37268.00,9715.00,9102.00
2021-W45,5445.00,12347.00,47719.00,12565.00,11657.00
2021-W44,6695.00,14206.00,54676.00,14426.00,13704.00
2021-W43,8005.00,16299.00,61534.00,16454.00,16181.00
2021-W42,9538.00,18540.00,68713.00,18403.00,18873.00
2021-W41,10838.00,20653.00,74923.00,20108.00,20894.00
2021-W40,12477.00,22803.00,81882.00,21966.00,23227.00
2021-W39,14893.00,25556.00,90228.00,24361.00,25760.00
2021-W38,17784.00,28694.00,100313.00,27338.00,29394.00
2021-W37,20582.00,32032.00,110927.00,30873.00,33453.00
2021-W36,24380.00,35521.00,122626.00,34558.00,37847.00
2021-W35,27750.00,39490.00,135439.00,38646.00,42740.00
2021-W34,32273.00,44167.00,150975.00,43666.00,48249.00
2021-W33,36976.00,50436.00,170900.00,49382.00,54133.00
2021-W32,43570.00,59649.00,198319.00,57082.00,61665.00
2021-W31,51931.00,71530.00,229678.00,65570.00,68779.00
2021-W30,59069.00,83175.00,262149.00,74309.00,77599.00
2021-W29,65373.00,93647.00,295537.00,81669.00,86217.00
2021-W28,67538.00,108330.00,346991.00,93342.00,97153.00
2021-W27,70157.00,122889.00,417163.00,109490.00,110392.00
2021-W26,72299.00,138158.00,511090.00,136122.00,127198.00
2021-W25,74026.00,150545.00,630127.00,175518.00,146146.00
2021-W24,75377.00,160122.00,725577.00,230789.00,176046.00
2021-W23,75594.00,165669.00,787296.00,285666.00,228317.00
2021-W22,75827.00,170574.00,822928.00,317485.00,294453.00
2021-W21,76087.00,173106.00,842128.00,327307.00,362856.00
2021-W20,76090.00,174234.00,856258.00,334094.00,425320.00
2021-W19,76094.00,175902.00,884147.00,346748.00,464634.00
2021-W18,76097.00,176594.00,902241.00,354039.00,517704.00
2021-W17,76100.00,177006.00,911885.00,358889.00,583161.00
2021-W16,76105.00,177580.00,924143.00,365390.00,646544.00
2021-W15,76109.00,177903.00,927315.00,367456.00,699104.00
2021-W14,76113.00,178155.00,929978.00,369090.00,720234.00
2021-W13,76116.00,178333.00,932016.00,370208.00,724291.00
2021-W12,76120.00,179027.00,936116.00,372460.00,734916.00
2021-W11,76122.00,179711.00,940394.00,376482.00,750749.00
2021-W10,76124.00,180895.00,945736.00,379144.00,779044.00
2021-W09,76125.00,181784.00,950080.00,381229.00,817855.00
2021-W08,76127.00,183479.00,959063.00,385317.00,841398.00
2021-W07,76127.00,185525.00,974725.00,392740.00,848970.00
2021-W06,76132.00,187025.00,990348.00,400360.00,855489.00
2021-W05,76136.00,187885.00,1001779.00,405891.00,860207.00
2021-W04,76136.00,188086.00,1005264.00,407639.00,861736.00
2021-W03,76136.00,188143.00,1006798.00,408285.00,862292.00
2021-W02,76136.00,188143.00,1006798.00,408285.00,862292.00
2021-W01,76136.00,188143.00,1006798.00,408285.00,862292.00
2020-W53,76136.00,188143.00,1006798.00,408285.00,862292.00
2020-W52,76136.00,188143.00,1006798.00,408285.00,862292.00
2020-W51,76136.00,188143.00,1006798.00,408285.00,862292.00
2020-W50,76136.00,188143.00,1006798.00,408285.00,862292.00
