Reporting week,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,3,267,312,662,"2,765",743,"1,075"
2021-W48,9,876,977,"2,626","10,186","2,849","3,294"
2021-W47,36,"1,595",1694,"6,418","24,434","6,428","6,512"
2021-W46,40,"2,037",2207,"9,739","37,268","9,715","9,102"
2021-W45,41,"2,549",2855,"12,347","47,719","12,565","11,657"
2021-W44,41,"3,096",3558,"14,206","54,676","14,426","13,704"
2021-W43,42,"3,656",4307,"16,299","61,534","16,454","16,181"
2021-W42,42,"4,359",5137,"18,540","68,713","18,403","18,873"
2021-W41,43,"4,956",5839,"20,653","74,923","20,108","20,894"
2021-W40,43,"5,748",6686,"22,803","81,882","21,966","23,227"
2021-W39,43,"6,927",7923,"25,556","90,228","24,361","25,760"
2021-W38,43,"8,267",9474,"28,694","100,313","27,338","29,394"
2021-W37,43,"9,515",11024,"32,032","110,927","30,873","33,453"
2021-W36,43,"11,271",13066,"35,521","122,626","34,558","37,847"
2021-W35,43,"12,723",14984,"39,490","135,439","38,646","42,740"
2021-W34,43,"14,730",17500,"44,167","150,975","43,666","48,249"
2021-W33,43,"16,482",20451,"50,436","170,900","49,382","54,133"
2021-W32,43,"18,958",24569,"59,649","198,319","57,082","61,665"
2021-W31,43,"21,933",29955,"71,530","229,678","65,570","68,779"
2021-W30,43,"24,525",34501,"83,175","262,149","74,309","77,599"
2021-W29,43,"26,515",38815,"93,647","295,537","81,669","86,217"
2021-W28,43,"26,660",40835,"108,330","346,991","93,342","97,153"
2021-W27,43,"26,802",43312,"122,889","417,163","109,490","110,392"
2021-W26,43,"26,817",45439,"138,158","511,090","136,122","127,198"
2021-W25,43,"26,817",47166,"150,545","630,127","175,518","146,146"
2021-W24,43,"26,817",48517,"160,122","725,577","230,789","176,046"
2021-W23,43,"26,820",48731,"165,669","787,296","285,666","228,317"
2021-W22,43,"26,822",48962,"170,574","822,928","317,485","294,453"
2021-W21,43,"26,823",49221,"173,106","842,128","327,307","362,856"
2021-W20,43,"26,823",49224,"174,234","856,258","334,094","425,320"
2021-W19,43,"26,824",49227,"175,902","884,147","346,748","464,634"
2021-W18,43,"26,824",49230,"176,594","902,241","354,039","517,704"
2021-W17,43,"26,824",49233,"177,006","911,885","358,889","583,161"
2021-W16,43,"26,824",49238,"177,580","924,143","365,390","646,544"
2021-W15,43,"26,824",49242,"177,903","927,315","367,456","699,104"
2021-W14,43,"26,824",49246,"178,155","929,978","369,090","720,234"
2021-W13,43,"26,825",49248,"178,333","932,016","370,208","724,291"
2021-W12,43,"26,825",49252,"179,027","936,116","372,460","734,916"
2021-W11,43,"26,825",49254,"179,711","940,394","376,482","750,749"
2021-W10,43,"26,826",49255,"180,895","945,736","379,144","779,044"
2021-W09,43,"26,826",49256,"181,784","950,080","381,229","817,855"
2021-W08,43,"26,826",49258,"183,479","959,063","385,317","841,398"
2021-W07,43,"26,826",49258,"185,525","974,725","392,740","848,970"
2021-W06,43,"26,826",49263,"187,025","990,348","400,360","855,489"
2021-W05,43,"26,826",49267,"187,885","1,001,779","405,891","860,207"
2021-W04,43,"26,826",49267,"188,086","1,005,264","407,639","861,736"
2021-W03,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
2021-W02,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
2021-W01,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
2020-W53,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
2020-W52,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
2020-W51,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
2020-W50,43,"26,826",49267,"188,143","1,006,798","408,285","862,292"
