Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W48,1280.00,992.00,4914.00,1629.00,2527.00
2021-W47,1829.00,1627.00,8293.00,2972.00,4626.00
2021-W46,2321.00,2188.00,11261.00,4252.00,6765.00
2021-W45,2730.00,2774.00,14033.00,5431.00,8708.00
2021-W44,3124.00,3407.00,16464.00,6409.00,10209.00
2021-W43,3761.00,4276.00,19530.00,7434.00,11801.00
2021-W42,5005.00,5635.00,24370.00,9051.00,14752.00
2021-W41,7263.00,8069.00,33385.00,12433.00,20513.00
2021-W40,10237.00,11548.00,48018.00,18377.00,29343.00
2021-W39,11841.00,13581.00,56297.00,21363.00,34117.00
2021-W38,13423.00,16022.00,65204.00,24656.00,38676.00
2021-W37,15568.00,19942.00,81267.00,30641.00,45537.00
2021-W36,17235.00,22421.00,89997.00,33951.00,50226.00
2021-W35,18679.00,24502.00,97123.00,36416.00,53933.00
2021-W34,20304.00,26781.00,105576.00,39580.00,58884.00
2021-W33,21920.00,29428.00,114703.00,43341.00,64129.00
2021-W32,23333.00,31977.00,123562.00,46901.00,69320.00
2021-W31,24570.00,34367.00,132992.00,50839.00,75397.00
2021-W30,25687.00,36998.00,143430.00,54554.00,80970.00
2021-W29,26726.00,39960.00,155298.00,58458.00,85483.00
2021-W28,28146.00,44296.00,171256.00,63111.00,90222.00
2021-W27,29712.00,49946.00,192965.00,69528.00,96758.00
2021-W26,30520.00,57110.00,223310.00,78477.00,105910.00
2021-W25,30875.00,62143.00,248341.00,90488.00,116910.00
2021-W24,30967.00,65893.00,270875.00,100238.00,127454.00
2021-W23,31158.00,69680.00,303952.00,116242.00,143571.00
2021-W22,31242.00,72491.00,330601.00,143605.00,168018.00
2021-W21,31250.00,73519.00,341084.00,176695.00,192727.00
2021-W20,31262.00,74552.00,351673.00,186523.00,217572.00
2021-W19,31269.00,75686.00,360768.00,190421.00,238668.00
2021-W18,31286.00,76146.00,363719.00,192530.00,273274.00
2021-W17,31303.00,76417.00,364401.00,193255.00,313240.00
2021-W16,31326.00,76506.00,364746.00,193683.00,342668.00
2021-W15,31330.00,76523.00,364942.00,193841.00,366617.00
2021-W14,31332.00,76536.00,365027.00,193919.00,369340.00
2021-W13,31333.00,76546.00,365109.00,193984.00,375693.00
2021-W12,31333.00,76570.00,365308.00,194060.00,383765.00
2021-W11,31352.00,76601.00,365483.00,194175.00,403372.00
2021-W10,31353.00,76653.00,365990.00,194450.00,423773.00
2021-W09,31355.00,76738.00,366849.00,194851.00,434385.00
2021-W08,31356.00,76775.00,367193.00,195001.00,434811.00
2021-W07,31358.00,76849.00,367854.00,195352.00,435838.00
2021-W06,31360.00,76952.00,369214.00,196052.00,438324.00
2021-W05,31361.00,77197.00,372388.00,197793.00,451747.00
2021-W04,31366.00,77535.00,380399.00,202388.00,455387.00
2021-W03,31367.00,77612.00,382774.00,204221.00,461837.00
2021-W02,31367.00,77614.00,382839.00,204265.00,461879.00
2021-W01,31367.00,77614.00,382839.00,204265.00,461881.00
2020-W53,31367.00,77614.00,382839.00,204265.00,461881.00
2020-W52,31367.00,77614.00,382839.00,204265.00,461881.00
2020-W51,31367.00,77614.00,382839.00,204265.00,461881.00
2020-W50,31367.00,77614.00,382839.00,204265.00,461881.00
