Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1441.00,1546.00,5140.00,1595.00,2299.00
2021-W48,11837.00,11240.00,38250.00,9840.00,18569.00
2021-W47,20745.00,19338.00,64306.00,15515.00,24014.00
2021-W46,31581.00,28826.00,93683.00,20886.00,29494.00
2021-W45,42182.00,37789.00,120637.00,25351.00,34563.00
2021-W44,52484.00,46208.00,144031.00,28752.00,38533.00
2021-W43,66928.00,58102.00,177025.00,33058.00,44130.00
2021-W42,87720.00,73848.00,219994.00,38110.00,50302.00
2021-W41,114828.00,92296.00,265710.00,43454.00,56659.00
2021-W40,159863.00,118185.00,325850.00,49901.00,65479.00
2021-W39,267373.00,161975.00,416991.00,58253.00,77069.00
2021-W38,441808.00,221345.00,525599.00,67736.00,91765.00
2021-W37,792931.00,303301.00,660774.00,78830.00,107998.00
2021-W36,1263993.00,462920.00,844584.00,93230.00,132290.00
2021-W35,1725346.00,788317.00,1152812.00,111105.00,157705.00
2021-W34,1979195.00,1187320.00,1646389.00,128766.00,187555.00
2021-W33,2073763.00,1575223.00,2320980.00,144556.00,218041.00
2021-W32,2106092.00,1784826.00,3110078.00,165891.00,265891.00
2021-W31,2126527.00,1876041.00,3992702.00,198156.00,346522.00
2021-W30,2148664.00,1955004.00,4922747.00,244492.00,529716.00
2021-W29,2154514.00,1991279.00,6211878.00,329450.00,863100.00
2021-W28,2155888.00,2015483.00,7542202.00,445678.00,1428890.00
2021-W27,2157042.00,2038402.00,8901548.00,657247.00,2264547.00
2021-W26,2157799.00,2061363.00,9993027.00,1263056.00,2969245.00
2021-W25,2158162.00,2086662.00,10467977.00,2434610.00,3580248.00
2021-W24,2158519.00,2116580.00,10785869.00,3455385.00,3870618.00
2021-W23,2158982.00,2144070.00,11156655.00,4605202.00,4118916.00
2021-W22,2159337.00,2171556.00,11505073.00,5409853.00,4554853.00
2021-W21,2159661.00,2184405.00,11649816.00,5653315.00,5258448.00
2021-W20,2159907.00,2188793.00,11685641.00,5746982.00,6083071.00
2021-W19,2160182.00,2192332.00,11719565.00,5781205.00,7009423.00
2021-W18,2160340.00,2195017.00,11741950.00,5794551.00,8095995.00
2021-W17,2160582.00,2197538.00,11757136.00,5803495.00,9227802.00
2021-W16,2160690.00,2199016.00,11767168.00,5809970.00,9757243.00
2021-W15,2160783.00,2201386.00,11780953.00,5817528.00,10035445.00
2021-W14,2160875.00,2203403.00,11793702.00,5825334.00,10252349.00
2021-W13,2160967.00,2204737.00,11804035.00,5832349.00,10493122.00
2021-W12,2161169.00,2209803.00,11836254.00,5851361.00,10907816.00
2021-W11,2161433.00,2219200.00,11895462.00,5886380.00,11244934.00
2021-W10,2161585.00,2229333.00,11973827.00,5928349.00,11428714.00
2021-W09,2161659.00,2234754.00,12031764.00,5958065.00,11466034.00
2021-W08,2161726.00,2238066.00,12057993.00,5971180.00,11485088.00
2021-W07,2161770.00,2243224.00,12110128.00,5999958.00,11514630.00
2021-W06,2161834.00,2253813.00,12242693.00,6072019.00,11586896.00
2021-W05,2161875.00,2266474.00,12438782.00,6175595.00,11720644.00
2021-W04,2161891.00,2272950.00,12533885.00,6227232.00,11855831.00
2021-W03,2161895.00,2274335.00,12555862.00,6241108.00,11906322.00
2021-W02,2161896.00,2274356.00,12556178.00,6241315.00,11907816.00
2021-W01,2161896.00,2274356.00,12556178.00,6241315.00,11907816.00
2020-W53,2161896.00,2274356.00,12556178.00,6241315.00,11907816.00
2020-W52,2161896.00,2274356.00,12556178.00,6241315.00,11907816.00
2020-W51,2161896.00,2274356.00,12556178.00,6241315.00,11907816.00
2020-W50,2161896.00,2274356.00,12556178.00,6241315.00,11907816.00
