Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0,0,991,450,"1,546","5,140","1,595","2,299"
2021-W48,5,2,"8,297",3533,"11,240","38,250","9,840","18,569"
2021-W47,9,3,"14,523",6210,"19,338","64,306","15,515","24,014"
2021-W46,12,3,"22,067",9499,"28,826","93,683","20,886","29,494"
2021-W45,15,4,"29,269",12894,"37,789","120,637","25,351","34,563"
2021-W44,19,5,"36,293",16167,"46,208","144,031","28,752","38,533"
2021-W43,22,5,"45,792",21109,"58,102","177,025","33,058","44,130"
2021-W42,25,7,"59,352",28336,"73,848","219,994","38,110","50,302"
2021-W41,35,9,"76,650",38134,"92,296","265,710","43,454","56,659"
2021-W40,47,12,"104,414",55390,"118,185","325,850","49,901","65,479"
2021-W39,57,22,"171,205",96089,"161,975","416,991","58,253","77,069"
2021-W38,80,38,"278,441",163249,"221,345","525,599","67,736","91,765"
2021-W37,92,48,"488,376",304415,"303,301","660,774","78,830","107,998"
2021-W36,119,68,"767,645",496161,"462,920","844,584","93,230","132,290"
2021-W35,137,94,"972,209",752906,"788,317","1,152,812","111,105","157,705"
2021-W34,148,109,"1,051,649",927289,"1,187,320","1,646,389","128,766","187,555"
2021-W33,159,119,"1,066,537",1006948,"1,575,223","2,320,980","144,556","218,041"
2021-W32,191,125,"1,068,387",1037389,"1,784,826","3,110,078","165,891","265,891"
2021-W31,207,133,"1,069,330",1056857,"1,876,041","3,992,702","198,156","346,522"
2021-W30,229,150,"1,070,235",1078050,"1,955,004","4,922,747","244,492","529,716"
2021-W29,249,169,"1,070,875",1083221,"1,991,279","6,211,878","329,450","863,100"
2021-W28,261,197,"1,071,196",1084234,"2,015,483","7,542,202","445,678","1,428,890"
2021-W27,273,224,"1,071,562",1084983,"2,038,402","8,901,548","657,247","2,264,547"
2021-W26,294,244,"1,071,746",1085515,"2,061,363","9,993,027","1,263,056","2,969,245"
2021-W25,304,265,"1,071,794",1085799,"2,086,662","10,467,977","2,434,610","3,580,248"
2021-W24,316,294,"1,071,829",1086080,"2,116,580","10,785,869","3,455,385","3,870,618"
2021-W23,335,334,"1,071,859",1086454,"2,144,070","11,156,655","4,605,202","4,118,916"
2021-W22,356,405,"1,071,893",1086683,"2,171,556","11,505,073","5,409,853","4,554,853"
2021-W21,372,453,"1,071,930",1086906,"2,184,405","11,649,816","5,653,315","5,258,448"
2021-W20,379,487,"1,071,956",1087085,"2,188,793","11,685,641","5,746,982","6,083,071"
2021-W19,386,519,"1,071,976",1087301,"2,192,332","11,719,565","5,781,205","7,009,423"
2021-W18,393,529,"1,071,984",1087434,"2,195,017","11,741,950","5,794,551","8,095,995"
2021-W17,397,548,"1,072,006",1087631,"2,197,538","11,757,136","5,803,495","9,227,802"
2021-W16,398,551,"1,072,011",1087730,"2,199,016","11,767,168","5,809,970","9,757,243"
2021-W15,399,558,"1,072,018",1087808,"2,201,386","11,780,953","5,817,528","10,035,445"
2021-W14,403,563,"1,072,032",1087877,"2,203,403","11,793,702","5,825,334","10,252,349"
2021-W13,407,564,"1,072,046",1087950,"2,204,737","11,804,035","5,832,349","10,493,122"
2021-W12,412,569,"1,072,060",1088128,"2,209,803","11,836,254","5,851,361","10,907,816"
2021-W11,415,576,"1,072,070",1088372,"2,219,200","11,895,462","5,886,380","11,244,934"
2021-W10,417,581,"1,072,079",1088508,"2,229,333","11,973,827","5,928,349","11,428,714"
2021-W09,417,583,"1,072,081",1088578,"2,234,754","12,031,764","5,958,065","11,466,034"
2021-W08,417,585,"1,072,089",1088635,"2,238,066","12,057,993","5,971,180","11,485,088"
2021-W07,417,586,"1,072,089",1088678,"2,243,224","12,110,128","5,999,958","11,514,630"
2021-W06,420,588,"1,072,091",1088735,"2,253,813","12,242,693","6,072,019","11,586,896"
2021-W05,423,591,"1,072,095",1088766,"2,266,474","12,438,782","6,175,595","11,720,644"
2021-W04,425,591,"1,072,096",1088779,"2,272,950","12,533,885","6,227,232","11,855,831"
2021-W03,425,591,"1,072,097",1088782,"2,274,335","12,555,862","6,241,108","11,906,322"
2021-W02,425,591,"1,072,097",1088783,"2,274,356","12,556,178","6,241,315","11,907,816"
2021-W01,425,591,"1,072,097",1088783,"2,274,356","12,556,178","6,241,315","11,907,816"
2020-W53,425,591,"1,072,097",1088783,"2,274,356","12,556,178","6,241,315","11,907,816"
2020-W52,425,591,"1,072,097",1088783,"2,274,356","12,556,178","6,241,315","11,907,816"
2020-W51,425,591,"1,072,097",1088783,"2,274,356","12,556,178","6,241,315","11,907,816"
2020-W50,425,591,"1,072,097",1088783,"2,274,356","12,556,178","6,241,315","11,907,816"
