Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,1277.00,2353.00,4277.00,515.00,799.00
2021-W48,5478.00,9265.00,17834.00,2172.00,3489.00
2021-W47,10736.00,15958.00,32380.00,4204.00,6802.00
2021-W46,16253.00,21291.00,45094.00,6008.00,10037.00
2021-W45,21832.00,26970.00,58579.00,7877.00,13258.00
2021-W44,26592.00,33205.00,73156.00,9779.00,15542.00
2021-W43,35358.00,42163.00,96380.00,12867.00,18849.00
2021-W42,42751.00,49736.00,121653.00,16534.00,22715.00
2021-W41,53549.00,59380.00,153215.00,20910.00,26941.00
2021-W40,71917.00,72563.00,189488.00,25571.00,30428.00
2021-W39,103014.00,92793.00,237962.00,30872.00,33863.00
2021-W38,140481.00,119277.00,295462.00,36507.00,37515.00
2021-W37,179593.00,161281.00,378324.00,43694.00,42141.00
2021-W36,205506.00,222423.00,494453.00,52322.00,47205.00
2021-W35,219040.00,311617.00,674115.00,62276.00,52582.00
2021-W34,227464.00,404555.00,939382.00,75892.00,58818.00
2021-W33,231802.00,457927.00,1264869.00,98389.00,66392.00
2021-W32,233058.00,474993.00,1540249.00,132682.00,74869.00
2021-W31,233722.00,484777.00,1764353.00,184639.00,83864.00
2021-W30,234159.00,490915.00,1939850.00,250583.00,95275.00
2021-W29,234515.00,495888.00,2049835.00,323857.00,111817.00
2021-W28,234839.00,500211.00,2104186.00,401094.00,135678.00
2021-W27,235225.00,504767.00,2162775.00,495922.00,187860.00
2021-W26,235682.00,511617.00,2235390.00,638180.00,287932.00
2021-W25,236052.00,519458.00,2297913.00,767068.00,437304.00
2021-W24,236383.00,528714.00,2368522.00,910757.00,683510.00
2021-W23,236624.00,536833.00,2417088.00,1000230.00,949009.00
2021-W22,236765.00,543080.00,2454104.00,1033352.00,1241409.00
2021-W21,236838.00,547490.00,2481242.00,1049985.00,1482349.00
2021-W20,236883.00,552538.00,2510794.00,1066389.00,1636991.00
2021-W19,236916.00,555428.00,2529351.00,1076425.00,1753666.00
2021-W18,236927.00,556833.00,2538669.00,1081805.00,1853734.00
2021-W17,236927.00,557362.00,2541810.00,1083913.00,1875779.00
2021-W16,236927.00,557753.00,2544122.00,1085569.00,1909955.00
2021-W15,236932.00,558262.00,2547426.00,1087745.00,1970975.00
2021-W14,236940.00,558719.00,2550834.00,1090049.00,2059234.00
2021-W13,236947.00,559191.00,2554067.00,1092317.00,2122030.00
2021-W12,236947.00,559775.00,2558331.00,1095201.00,2184173.00
2021-W11,236947.00,560468.00,2563261.00,1098510.00,2230981.00
2021-W10,236947.00,561209.00,2568200.00,1101639.00,2261689.00
2021-W09,236947.00,562322.00,2576305.00,1106689.00,2285517.00
2021-W08,236947.00,564803.00,2592768.00,1116687.00,2311611.00
2021-W07,236952.00,568132.00,2619181.00,1132636.00,2350577.00
2021-W06,236952.00,570033.00,2636039.00,1143013.00,2393198.00
2021-W05,236952.00,571281.00,2648259.00,1151052.00,2428666.00
2021-W04,236952.00,571492.00,2650678.00,1153041.00,2450586.00
2021-W03,236952.00,571558.00,2651478.00,1153772.00,2460303.00
2021-W02,236952.00,571558.00,2651538.00,1153797.00,2460744.00
2021-W01,236952.00,571558.00,2651538.00,1153797.00,2460744.00
2020-W53,236952.00,571558.00,2651538.00,1153797.00,2460744.00
2020-W52,236952.00,571558.00,2651538.00,1153797.00,2460744.00
2020-W51,236952.00,571558.00,2651538.00,1153797.00,2460744.00
2020-W50,236952.00,571558.00,2651538.00,1153797.00,2460744.00
