Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60-69 years,70-79 years,80+ years
2020-W52,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2020-W53,0.0%,0.0%,0.2%,0.3%,0.2%,0.1%,0.1%
2021-W01,0.0%,0.3%,0.7%,1.0%,0.7%,0.3%,0.7%
2021-W02,0.0%,0.6%,1.6%,1.8%,1.3%,0.8%,3.3%
2021-W03,0.0%,0.8%,1.9%,2.9%,1.8%,1.4%,8.4%
2021-W04,0.0%,1.0%,2.3%,3.5%,2.3%,2.1%,13.7%
2021-W05,0.0%,1.1%,2.6%,3.8%,2.5%,2.2%,16.6%
2021-W06,0.0%,1.5%,2.8%,4.2%,2.9%,2.9%,20.3%
2021-W07,0.0%,1.8%,3.5%,5.0%,3.9%,4.7%,24.0%
2021-W08,0.0%,2.1%,4.1%,6.2%,4.6%,7.4%,34.7%
2021-W09,0.0%,2.4%,4.9%,7.9%,6.6%,9.5%,43.0%
2021-W10,0.0%,2.8%,5.6%,9.1%,8.3%,16.6%,52.2%
2021-W11,0.0%,3.0%,5.9%,9.3%,9.0%,22.9%,55.6%
2021-W12,0.0%,3.4%,6.3%,10.9%,11.8%,33.2%,62.5%
2021-W13,0.0%,3.8%,7.0%,11.9%,15.0%,43.9%,70.6%
2021-W14,0.0%,4.2%,7.6%,13.1%,24.7%,53.2%,78.1%
2021-W15,0.0%,4.5%,9.1%,15.3%,34.0%,61.7%,81.5%
2021-W16,0.1%,5.1%,10.2%,18.0%,43.3%,67.4%,83.1%
2021-W17,0.1%,5.8%,12.0%,23.9%,50.0%,78.5%,83.8%
2021-W18,0.1%,6.7%,14.1%,30.5%,58.3%,80.5%,84.7%
2021-W19,0.2%,7.9%,17.7%,41.3%,66.0%,82.1%,85.4%
2021-W20,0.2%,10.3%,22.1%,47.2%,69.9%,83.2%,85.9%
2021-W21,0.3%,13.4%,26.6%,53.6%,73.2%,83.4%,84.3%
2021-W22,0.5%,17.2%,31.8%,58.7%,76.3%,84.5%,84.4%
2021-W23,0.6%,21.3%,35.6%,64.4%,77.0%,84.9%,84.6%
2021-W24,1.2%,24.9%,41.3%,66.8%,79.2%,85.1%,84.8%
2021-W25,1.7%,28.8%,43.0%,68.8%,80.1%,85.2%,85.1%
2021-W26,2.5%,36.4%,47.4%,70.1%,81.0%,85.3%,85.3%
2021-W27,3.9%,38.5%,55.4%,71.8%,81.8%,85.5%,85.4%
2021-W28,4.8%,41.1%,58.4%,74.1%,82.5%,85.9%,85.7%
2021-W29,6.0%,47.4%,59.9%,76.4%,82.9%,86.4%,85.8%
2021-W30,6.9%,47.7%,62.3%,77.4%,83.6%,86.8%,86.0%
2021-W31,7.7%,54.4%,65.0%,78.5%,84.1%,87.1%,86.1%
2021-W32,10.1%,55.4%,67.2%,79.7%,84.4%,87.3%,86.3%
2021-W33,11.7%,57.9%,67.8%,80.7%,84.7%,87.5%,86.5%
2021-W34,12.4%,58.8%,68.3%,81.4%,85.0%,87.7%,86.7%
2021-W35,12.5%,59.0%,68.3%,81.5%,85.1%,87.7%,86.7%
