Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0.00,0.00,0.33,0.71,0.75,0.79,0.85,0.92
2021-W48,0.00,0.00,0.32,0.71,0.75,0.79,0.85,0.92
2021-W47,0.00,0.00,0.30,0.70,0.74,0.78,0.84,0.92
2021-W46,0.00,0.00,0.28,0.68,0.74,0.78,0.84,0.91
2021-W45,0.00,0.00,0.26,0.65,0.73,0.77,0.84,0.91
2021-W44,0.00,0.00,0.24,0.61,0.73,0.76,0.83,0.90
2021-W43,0.00,0.00,0.23,0.59,0.71,0.76,0.83,0.90
2021-W42,0.00,0.00,0.22,0.57,0.69,0.75,0.82,0.90
2021-W41,0.00,0.00,0.21,0.56,0.66,0.74,0.82,0.90
2021-W40,0.00,0.00,0.20,0.55,0.64,0.73,0.82,0.89
2021-W39,0.00,0.00,0.20,0.54,0.64,0.72,0.81,0.89
2021-W38,0.00,0.00,0.19,0.53,0.63,0.72,0.81,0.89
2021-W37,0.00,0.00,0.18,0.51,0.62,0.71,0.81,0.89
2021-W36,0.00,0.00,0.17,0.49,0.61,0.70,0.81,0.88
2021-W35,0.00,0.00,0.17,0.48,0.60,0.69,0.80,0.88
2021-W34,0.00,0.00,0.16,0.47,0.58,0.68,0.80,0.88
2021-W33,0.00,0.00,0.14,0.45,0.57,0.68,0.80,0.87
2021-W32,0.00,0.00,0.11,0.43,0.56,0.67,0.79,0.87
2021-W31,0.00,0.00,0.06,0.33,0.55,0.65,0.79,0.87
2021-W30,0.00,0.00,0.04,0.29,0.48,0.62,0.77,0.87
2021-W29,0.00,0.00,0.02,0.26,0.47,0.60,0.76,0.86
2021-W28,0.00,0.00,0.02,0.24,0.41,0.59,0.74,0.85
2021-W27,0.00,0.00,0.01,0.20,0.39,0.55,0.72,0.85
2021-W26,0.00,0.00,0.00,0.14,0.36,0.47,0.70,0.85
2021-W25,0.00,0.00,0.00,0.10,0.29,0.43,0.69,0.84
2021-W24,0.00,0.00,0.00,0.07,0.24,0.41,0.67,0.83
2021-W23,0.00,0.00,0.00,0.04,0.21,0.36,0.65,0.82
2021-W22,0.00,0.00,0.00,0.01,0.17,0.32,0.58,0.81
2021-W21,0.00,0.00,0.00,0.01,0.13,0.27,0.51,0.80
2021-W20,0.00,0.00,0.00,0.01,0.10,0.22,0.47,0.78
2021-W19,0.00,0.00,0.00,0.00,0.08,0.18,0.41,0.74
2021-W18,0.00,0.00,0.00,0.00,0.07,0.14,0.31,0.70
2021-W17,0.00,0.00,0.00,0.00,0.06,0.12,0.24,0.65
2021-W16,0.00,0.00,0.00,0.00,0.05,0.11,0.18,0.56
2021-W15,0.00,0.00,0.00,0.00,0.04,0.10,0.15,0.50
2021-W14,0.00,0.00,0.00,0.00,0.04,0.08,0.13,0.42
2021-W13,0.00,0.00,0.00,0.00,0.04,0.07,0.12,0.35
2021-W12,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.29
2021-W11,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.24
2021-W10,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.20
2021-W09,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.15
2021-W08,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.12
2021-W07,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.08
2021-W06,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.06
2021-W05,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.05
2021-W04,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.04
2021-W03,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.03
2021-W02,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02
2021-W01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
2020-W53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-W52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-W51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-W50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
