Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0.0%,0.0%,32.8%,71.1%,74.9%,79.4%,84.9%,92.1%
2021-W48,0.0%,0.0%,32.2%,70.8%,74.6%,79.1%,84.6%,92.0%
2021-W47,0.0%,0.0%,30.0%,69.8%,74.1%,78.4%,84.2%,91.6%
2021-W46,0.0%,0.0%,27.7%,68.3%,73.6%,77.7%,83.9%,91.1%
2021-W45,0.0%,0.0%,25.9%,65.2%,73.0%,77.0%,83.7%,90.6%
2021-W44,0.0%,0.0%,24.2%,60.8%,72.5%,76.2%,83.3%,90.0%
2021-W43,0.0%,0.0%,23.1%,58.7%,71.2%,75.6%,82.9%,89.8%
2021-W42,0.0%,0.0%,22.0%,57.3%,69.0%,74.8%,82.4%,89.6%
2021-W41,0.0%,0.0%,20.8%,56.3%,65.6%,73.9%,82.0%,89.5%
2021-W40,0.0%,0.0%,20.2%,55.4%,64.1%,73.2%,81.6%,89.3%
2021-W39,0.0%,0.0%,19.7%,54.3%,63.5%,72.4%,81.4%,89.1%
2021-W38,0.0%,0.0%,19.0%,52.9%,62.8%,71.5%,81.2%,88.9%
2021-W37,0.0%,0.0%,18.2%,51.1%,61.9%,70.6%,80.9%,88.6%
2021-W36,0.0%,0.0%,17.3%,49.3%,60.8%,69.5%,80.6%,88.3%
2021-W35,0.0%,0.0%,16.8%,47.9%,59.6%,68.5%,80.3%,88.0%
2021-W34,0.0%,0.0%,16.0%,46.5%,58.0%,68.0%,80.0%,87.7%
2021-W33,0.0%,0.0%,13.9%,44.6%,57.2%,67.5%,79.7%,87.4%
2021-W32,0.0%,0.0%,11.2%,42.7%,55.8%,66.9%,79.3%,87.1%
2021-W31,0.0%,0.0%,5.5%,33.4%,54.5%,65.0%,78.5%,86.9%
2021-W30,0.0%,0.0%,3.5%,29.0%,47.7%,62.3%,77.4%,86.5%
2021-W29,0.0%,0.0%,1.7%,25.9%,47.4%,60.2%,76.4%,85.7%
2021-W28,0.0%,0.0%,1.6%,23.7%,41.0%,58.6%,74.3%,85.4%
2021-W27,0.0%,0.0%,0.8%,20.3%,38.5%,54.7%,72.0%,84.9%
2021-W26,0.0%,0.0%,0.3%,13.5%,36.4%,47.4%,70.2%,84.5%
2021-W25,0.0%,0.0%,0.2%,9.7%,29.4%,43.0%,68.8%,83.8%
2021-W24,0.0%,0.0%,0.1%,7.0%,24.3%,41.4%,66.9%,83.1%
2021-W23,0.0%,0.0%,0.0%,3.8%,21.3%,35.6%,64.6%,82.1%
2021-W22,0.0%,0.0%,0.0%,1.4%,17.2%,31.6%,57.8%,81.1%
2021-W21,0.0%,0.0%,0.0%,1.0%,12.8%,27.0%,50.6%,79.5%
2021-W20,0.0%,0.0%,0.0%,0.7%,10.3%,22.2%,47.2%,77.9%
2021-W19,0.0%,0.0%,0.0%,0.4%,8.1%,17.8%,41.3%,74.4%
2021-W18,0.0%,0.0%,0.0%,0.3%,6.8%,14.1%,30.5%,69.6%
2021-W17,0.0%,0.0%,0.0%,0.2%,5.7%,12.2%,24.0%,64.6%
2021-W16,0.0%,0.0%,0.0%,0.1%,5.0%,10.5%,18.4%,56.2%
2021-W15,0.0%,0.0%,0.0%,0.1%,4.4%,9.5%,15.3%,50.0%
2021-W14,0.0%,0.0%,0.0%,0.1%,4.2%,8.2%,12.8%,42.2%
2021-W13,0.0%,0.0%,0.0%,0.1%,3.9%,7.4%,11.9%,35.4%
2021-W12,0.0%,0.0%,0.0%,0.1%,3.4%,6.9%,11.0%,28.6%
2021-W11,0.0%,0.0%,0.0%,0.1%,3.0%,6.3%,9.4%,24.3%
2021-W10,0.0%,0.0%,0.0%,0.1%,2.8%,6.0%,9.1%,19.6%
2021-W09,0.0%,0.0%,0.0%,0.1%,2.3%,5.1%,7.9%,15.3%
2021-W08,0.0%,0.0%,0.0%,0.0%,2.0%,4.1%,6.1%,11.5%
2021-W07,0.0%,0.0%,0.0%,0.0%,1.8%,3.4%,4.8%,7.8%
2021-W06,0.0%,0.0%,0.0%,0.0%,1.5%,2.8%,4.1%,6.2%
2021-W05,0.0%,0.0%,0.0%,0.0%,1.1%,2.6%,3.8%,5.2%
2021-W04,0.0%,0.0%,0.0%,0.0%,1.0%,2.3%,3.5%,4.3%
2021-W03,0.0%,0.0%,0.0%,0.0%,0.8%,1.9%,2.9%,3.3%
2021-W02,0.0%,0.0%,0.0%,0.0%,0.5%,1.5%,1.8%,1.9%
2021-W01,0.0%,0.0%,0.0%,0.0%,0.2%,0.7%,1.0%,0.7%
2020-W53,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.1%
2020-W52,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2020-W51,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2020-W50,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
