Reporting week,<18 years,18-24 years,25-49 years,50-59 years,60-69 years,70-79 years,80+ years
2020-W52,-,-,0.0%,0.0%,-,-,-
2020-W53,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2021-W01,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2021-W02,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2021-W03,0.0%,0.0%,0.2%,0.2%,0.1%,0.1%,0.1%
2021-W04,0.0%,0.2%,0.6%,0.8%,0.6%,0.3%,0.6%
2021-W05,0.0%,0.4%,1.1%,1.6%,1.1%,0.8%,2.7%
2021-W06,0.0%,0.7%,1.7%,2.2%,1.5%,1.2%,5.7%
2021-W07,0.0%,0.8%,2.2%,2.9%,2.1%,1.8%,9.4%
2021-W08,0.0%,1.0%,2.4%,3.4%,2.4%,2.1%,12.1%
2021-W09,0.0%,1.1%,2.5%,3.8%,2.7%,2.4%,16.1%
2021-W10,0.0%,1.1%,2.6%,4.1%,2.9%,3.1%,20.1%
2021-W11,0.0%,1.2%,2.7%,4.2%,3.1%,4.3%,25.2%
2021-W12,0.0%,1.4%,2.9%,4.5%,3.5%,6.5%,35.4%
2021-W13,0.0%,1.5%,3.1%,4.8%,4.1%,10.0%,41.6%
2021-W14,0.0%,1.7%,3.4%,4.9%,4.9%,12.3%,49.8%
2021-W15,0.0%,1.7%,3.7%,5.2%,5.8%,15.9%,51.6%
2021-W16,0.0%,1.9%,4.2%,5.9%,6.8%,19.7%,54.2%
2021-W17,0.0%,2.2%,4.5%,6.3%,8.4%,28.3%,55.8%
2021-W18,0.0%,2.4%,4.9%,8.6%,11.6%,34.9%,57.7%
2021-W19,0.0%,2.6%,5.7%,10.2%,15.3%,41.7%,59.8%
2021-W20,0.0%,3.1%,7.9%,12.6%,20.9%,50.4%,61.6%
2021-W21,0.1%,4.6%,9.3%,16.9%,27.9%,53.5%,65.3%
2021-W22,0.1%,5.9%,11.1%,22.9%,36.5%,59.7%,67.5%
2021-W23,0.1%,7.7%,14.0%,30.9%,46.0%,67.2%,73.3%
2021-W24,0.1%,10.3%,18.5%,36.8%,51.8%,69.6%,80.7%
2021-W25,0.2%,12.7%,22.0%,42.2%,55.6%,73.1%,83.2%
2021-W26,0.4%,14.4%,26.3%,49.4%,61.2%,77.4%,83.3%
2021-W27,0.5%,19.4%,31.6%,54.8%,66.3%,80.6%,83.5%
2021-W28,1.1%,23.2%,37.6%,60.1%,69.5%,82.0%,83.8%
2021-W29,1.5%,27.7%,40.9%,63.3%,71.4%,83.2%,84.1%
2021-W30,2.0%,35.2%,45.8%,65.3%,74.1%,83.8%,84.3%
2021-W31,3.2%,38.6%,49.7%,66.8%,76.9%,84.6%,84.4%
2021-W32,4.5%,41.5%,53.0%,67.8%,80.1%,85.2%,84.7%
2021-W33,5.5%,43.5%,54.7%,70.7%,81.1%,85.6%,84.8%
2021-W34,6.3%,47.0%,57.3%,71.3%,81.8%,86.0%,85.0%
2021-W35,6.3%,47.0%,57.3%,71.4%,81.8%,86.0%,85.0%
