Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,18-24 years,25-49 years,50-59 years,60+ years
2021-W49,0.0%,0.0%,24.3%,60.7%,68.8%,75.3%,82.5%,88.6%
2021-W48,0.0%,0.0%,24.0%,59.7%,68.8%,74.9%,82.1%,88.5%
2021-W47,0.0%,0.0%,22.8%,57.3%,68.5%,74.1%,81.0%,88.3%
2021-W46,0.0%,0.0%,21.7%,55.6%,68.3%,73.3%,80.4%,88.0%
2021-W45,0.0%,0.0%,20.7%,54.2%,67.9%,72.6%,79.9%,87.7%
2021-W44,0.0%,0.0%,19.6%,53.1%,65.9%,71.9%,79.6%,87.4%
2021-W43,0.0%,0.0%,19.1%,52.0%,63.6%,71.3%,79.3%,87.2%
2021-W42,0.0%,0.0%,18.6%,51.0%,62.0%,70.4%,79.0%,87.0%
2021-W41,0.0%,0.0%,17.8%,49.5%,60.1%,69.6%,78.6%,86.8%
2021-W40,0.0%,0.0%,16.7%,47.9%,58.4%,68.6%,78.2%,86.6%
2021-W39,0.0%,0.0%,16.0%,46.3%,57.5%,67.7%,77.6%,86.3%
2021-W38,0.0%,0.0%,15.1%,44.3%,56.6%,66.0%,77.0%,86.1%
2021-W37,0.0%,0.0%,14.2%,42.1%,55.7%,64.8%,76.1%,85.8%
2021-W36,0.0%,0.0%,12.6%,39.2%,52.6%,62.9%,75.0%,85.5%
2021-W35,0.0%,0.0%,8.3%,36.5%,51.0%,60.4%,73.5%,85.3%
2021-W34,0.0%,0.0%,4.5%,25.8%,47.0%,58.1%,71.6%,84.9%
2021-W33,0.0%,0.0%,2.9%,20.3%,43.4%,54.7%,71.1%,84.6%
2021-W32,0.0%,0.0%,0.7%,18.4%,41.6%,52.8%,68.4%,84.0%
2021-W31,0.0%,0.0%,0.6%,15.2%,38.1%,49.7%,67.4%,83.3%
2021-W30,0.0%,0.0%,0.4%,7.9%,33.8%,45.9%,65.9%,82.3%
2021-W29,0.0%,0.0%,0.1%,3.5%,27.5%,40.8%,63.9%,79.2%
2021-W28,0.0%,0.0%,0.1%,2.4%,23.4%,37.1%,59.9%,75.3%
2021-W27,0.0%,0.0%,0.0%,1.2%,19.3%,31.7%,52.7%,71.9%
2021-W26,0.0%,0.0%,0.0%,0.9%,14.4%,26.7%,48.5%,70.2%
2021-W25,0.0%,0.0%,0.0%,0.6%,12.5%,22.4%,42.4%,67.6%
2021-W24,0.0%,0.0%,0.0%,0.4%,9.4%,18.2%,37.0%,61.9%
2021-W23,0.0%,0.0%,0.0%,0.3%,7.0%,14.0%,30.9%,57.8%
2021-W22,0.0%,0.0%,0.0%,0.2%,5.6%,11.1%,23.3%,51.9%
2021-W21,0.0%,0.0%,0.0%,0.2%,4.4%,8.9%,17.0%,46.3%
2021-W20,0.0%,0.0%,0.0%,0.1%,2.9%,7.3%,12.6%,40.7%
2021-W19,0.0%,0.0%,0.0%,0.1%,2.5%,5.7%,9.9%,36.3%
2021-W18,0.0%,0.0%,0.0%,0.1%,2.1%,4.9%,8.5%,31.1%
2021-W17,0.0%,0.0%,0.0%,0.1%,1.9%,4.5%,6.4%,25.5%
2021-W16,0.0%,0.0%,0.0%,0.1%,1.7%,4.2%,5.9%,22.0%
2021-W15,0.0%,0.0%,0.0%,0.1%,1.6%,3.7%,5.2%,19.3%
2021-W14,0.0%,0.0%,0.0%,0.1%,1.6%,3.3%,4.9%,16.5%
2021-W13,0.0%,0.0%,0.0%,0.1%,1.4%,3.1%,4.8%,14.1%
2021-W12,0.0%,0.0%,0.0%,0.0%,1.2%,2.9%,4.5%,11.4%
2021-W11,0.0%,0.0%,0.0%,0.0%,1.1%,2.7%,4.1%,9.4%
2021-W10,0.0%,0.0%,0.0%,0.0%,1.0%,2.6%,4.0%,6.5%
2021-W09,0.0%,0.0%,0.0%,0.0%,1.0%,2.5%,3.8%,5.7%
2021-W08,0.0%,0.0%,0.0%,0.0%,0.9%,2.4%,3.4%,4.4%
2021-W07,0.0%,0.0%,0.0%,0.0%,0.8%,2.1%,3.0%,3.7%
2021-W06,0.0%,0.0%,0.0%,0.0%,0.6%,1.7%,2.2%,2.5%
2021-W05,0.0%,0.0%,0.0%,0.0%,0.4%,1.1%,1.6%,1.8%
2021-W04,0.0%,0.0%,0.0%,0.0%,0.2%,0.6%,0.8%,0.7%
2021-W03,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.1%
2021-W02,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2021-W01,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2020-W53,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2020-W52,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
