ReportingWeek,x_18Years,x18_24Years,x25_49Years,x50_59Years,x60_Years,Country,Dose
"December 06, 2020",11087,1615,5970,1897,3132,Austria,First
"December 13, 2020",48345,6012,23740,7518,12028,Austria,First
"December 20, 2020",81882,12434,49565,15931,22850,Austria,First
"December 27, 2020",104357,25921,97226,29247,35105,Austria,First
"January 03, 2021",125715,45279,159527,46112,46604,Austria,First
"January 10, 2021",136753,55995,196466,55804,51650,Austria,First
"January 17, 2021",143902,62642,220077,62011,55039,Austria,First
"January 24, 2021",149609,67139,235153,66151,58352,Austria,First
"January 31, 2021",155039,70741,246085,69132,61565,Austria,First
"February 07, 2021",161157,75237,258599,72617,65505,Austria,First
"February 14, 2021",168763,80218,273167,76746,69833,Austria,First
"February 21, 2021",177721,85871,289754,81493,74886,Austria,First
"February 28, 2021",186859,92337,309097,87040,80508,Austria,First
"March 07, 2021",195696,97591,324804,91391,85076,Austria,First
"March 14, 2021",204367,102265,338258,95356,89124,Austria,First
"March 21, 2021",212518,106484,350693,99253,93323,Austria,First
"March 28, 2021",219652,110483,362877,102968,97330,Austria,First
"April 04, 2021",225601,114066,373355,106298,100903,Austria,First
"April 11, 2021",234448,119746,388872,111109,105802,Austria,First
"April 18, 2021",243491,126268,405816,116139,111483,Austria,First
"April 25, 2021",255443,137817,437612,125328,120411,Austria,First
"May 02, 2021",277822,151523,471621,135467,129739,Austria,First
"May 09, 2021",293648,177987,529198,149121,141422,Austria,First
"May 16, 2021",320636,203249,618245,166149,155564,Austria,First
"May 23, 2021",343488,232503,732663,186158,170251,Austria,First
"May 30, 2021",360666,263495,863587,223825,190872,Austria,First
"June 06, 2021",370702,298318,1006410,286805,212441,Austria,First
"June 13, 2021",376169,326245,1159589,354550,246217,Austria,First
"June 20, 2021",378313,344688,1280012,414463,287876,Austria,First
"June 27, 2021",380683,363270,1425110,511473,373370,Austria,First
"July 04, 2021",381844,378691,1526949,620678,457709,Austria,First
"July 11, 2021",382691,392003,1621064,718735,579375,Austria,First
"July 18, 2021",383174,400453,1678397,785660,734415,Austria,First
"July 25, 2021",383649,406601,1731011,838291,914439,Austria,First
"August 01, 2021",383868,410052,1764400,868976,1123149,Austria,First
"August 08, 2021",383990,412370,1781799,884645,1302872,Austria,First
"August 15, 2021",384068,414900,1799102,898917,1411709,Austria,First
"August 22, 2021",384194,419397,1835661,924515,1499951,Austria,First
"August 29, 2021",384386,424302,1876198,952252,1617256,Austria,First
"September 05, 2021",385086,434004,1937716,987270,1737855,Austria,First
"September 12, 2021",385146,439463,1970114,1007786,1833540,Austria,First
"September 19, 2021",385203,446080,2002904,1026020,1882313,Austria,First
"September 26, 2021",385249,449450,2023019,1037757,1910411,Austria,First
"October 03, 2021",385270,452026,2033943,1044090,1919181,Austria,First
"October 10, 2021",385291,452848,2040352,1048462,1926072,Austria,First
"October 17, 2021",385299,454008,2049495,1053979,1941699,Austria,First
"October 24, 2021",385336,456967,2079111,1072692,1983569,Austria,First
"October 31, 2021",385408,459200,2103154,1090508,2024313,Austria,First
"November 07, 2021",385433,459986,2113536,1097038,2032752,Austria,First
"November 14, 2021",385439,460073,2114827,1098053,2035581,Austria,First
"November 21, 2021",385439,460073,2114827,1098053,2035581,Austria,First
"November 28, 2021",385439,460073,2114827,1098053,2035581,Austria,First
"December 05, 2021",385439,460073,2114827,1098053,2035581,Austria,First
"December 06, 2020",1321,724,1884,385,427,Belgium,First
"December 13, 2020",6192,3002,8475,1579,1995,Belgium,First
"December 20, 2020",13255,6485,18125,3165,3846,Belgium,First
"December 27, 2020",21660,10714,28808,4824,5759,Belgium,First
"January 03, 2021",28321,14010,36902,5972,7139,Belgium,First
"January 10, 2021",35224,17659,45472,7225,8514,Belgium,First
"January 17, 2021",43455,21380,54508,8605,10268,Belgium,First
"January 24, 2021",49487,24888,62416,9744,11685,Belgium,First
"January 31, 2021",55915,28799,70176,10835,13017,Belgium,First
"February 07, 2021",62690,32816,78228,11969,14259,Belgium,First
"February 14, 2021",71704,37926,89155,13566,15677,Belgium,First
"February 21, 2021",81803,43381,99696,15134,16966,Belgium,First
"February 28, 2021",91322,48017,108727,16316,17894,Belgium,First
"March 07, 2021",105929,53311,120210,17790,18968,Belgium,First
"March 14, 2021",126936,59932,134419,19386,20114,Belgium,First
"March 21, 2021",148914,66235,149195,21052,21372,Belgium,First
"March 28, 2021",174796,72543,165042,22998,22879,Belgium,First
"April 04, 2021",226160,80395,182950,25954,25148,Belgium,First
"April 11, 2021",330279,90271,202962,29349,28248,Belgium,First
"April 18, 2021",426679,100990,221589,32698,31358,Belgium,First
"April 25, 2021",501948,118526,241718,36372,35064,Belgium,First
"May 02, 2021",562378,170509,274314,40741,39881,Belgium,First
"May 09, 2021",590384,256724,318958,44964,44226,Belgium,First
"May 16, 2021",633391,373850,549001,51162,48526,Belgium,First
"May 23, 2021",666797,481879,970249,61929,54335,Belgium,First
"May 30, 2021",672659,543353,1491491,93038,63085,Belgium,First
"June 06, 2021",674489,571289,1774650,256767,82658,Belgium,First
"June 13, 2021",675629,590661,1992612,426910,152230,Belgium,First
"June 20, 2021",676070,598784,2130341,482126,177726,Belgium,First
"June 27, 2021",676444,603963,2278795,723738,220603,Belgium,First
"July 04, 2021",676895,610100,2390364,855456,284921,Belgium,First
"July 11, 2021",677308,615657,2473790,991392,536323,Belgium,First
"July 18, 2021",677705,621313,2505710,1069109,784846,Belgium,First
"July 25, 2021",677877,626524,2528929,1127845,1096178,Belgium,First
"August 01, 2021",677984,631019,2544626,1152985,1451962,Belgium,First
"August 08, 2021",678098,634165,2561486,1166292,1805755,Belgium,First
"August 15, 2021",678257,637712,2580987,1177654,2051004,Belgium,First
"August 22, 2021",678379,642835,2605451,1192007,2258804,Belgium,First
"August 29, 2021",678607,651949,2643228,1215419,2425886,Belgium,First
"September 05, 2021",678903,662220,2702008,1242508,2477691,Belgium,First
"September 12, 2021",679171,673529,2773524,1274094,2504120,Belgium,First
"September 19, 2021",679285,680213,2824810,1296524,2512889,Belgium,First
"September 26, 2021",679348,684385,2850894,1308153,2519789,Belgium,First
"October 03, 2021",679416,686233,2866001,1316352,2527277,Belgium,First
"October 10, 2021",679587,688956,2886245,1325966,2538697,Belgium,First
"October 17, 2021",680206,693985,2914290,1339448,2558286,Belgium,First
"October 24, 2021",681014,700995,2955830,1360056,2610740,Belgium,First
"October 31, 2021",681101,702850,2971283,1369380,2683194,Belgium,First
"November 07, 2021",681112,703195,2975500,1371906,2703342,Belgium,First
"November 14, 2021",681112,703215,2975636,1372006,2704022,Belgium,First
"November 21, 2021",681112,703215,2975636,1372006,2704022,Belgium,First
"November 28, 2021",681112,703215,2975636,1372006,2704022,Belgium,First
"December 05, 2021",681112,703215,2975636,1372006,2704022,Belgium,First
"December 06, 2020",1238,1361,7094,2944,6366,Bulgaria,First
"December 13, 2020",2158,2947,15479,6402,13625,Bulgaria,First
"December 20, 2020",3033,4802,25698,10657,21792,Bulgaria,First
"December 27, 2020",4053,7019,38523,16266,32087,Bulgaria,First
"January 03, 2021",5331,10319,56687,24124,44234,Bulgaria,First
"January 10, 2021",6643,15514,81575,34347,57873,Bulgaria,First
"January 17, 2021",7656,19510,100455,41358,66984,Bulgaria,First
"January 24, 2021",8029,20190,105571,43596,71686,Bulgaria,First
"January 31, 2021",8360,20750,109612,45538,75872,Bulgaria,First
"February 07, 2021",8841,21360,114002,47588,80376,Bulgaria,First
"February 14, 2021",9304,22046,118048,49698,84983,Bulgaria,First
"February 21, 2021",9881,23204,123655,52325,90986,Bulgaria,First
"February 28, 2021",10539,24300,129780,55074,96980,Bulgaria,First
"March 07, 2021",11415,25700,138314,59084,105144,Bulgaria,First
"March 14, 2021",12348,27251,148003,63708,114614,Bulgaria,First
"March 21, 2021",13125,28513,156468,67971,123978,Bulgaria,First
"March 28, 2021",13941,29726,165128,72583,133847,Bulgaria,First
"April 04, 2021",14709,31091,174386,77647,144735,Bulgaria,First
"April 11, 2021",15397,32448,183711,82504,155153,Bulgaria,First
"April 18, 2021",15965,33664,191367,86866,164450,Bulgaria,First
"April 25, 2021",16593,34869,199303,91226,174437,Bulgaria,First
"May 02, 2021",17188,36138,206974,95716,185734,Bulgaria,First
"May 09, 2021",17672,37199,213660,99461,195735,Bulgaria,First
"May 16, 2021",18058,38153,220083,103342,206882,Bulgaria,First
"May 23, 2021",18191,39314,227527,107564,219086,Bulgaria,First
"May 30, 2021",18335,40701,236491,112495,235017,Bulgaria,First
"June 06, 2021",18335,42087,246366,117870,252495,Bulgaria,First
"June 13, 2021",18335,43335,256587,123653,272977,Bulgaria,First
"June 20, 2021",18335,45106,271919,132204,302662,Bulgaria,First
"June 27, 2021",18335,47064,288827,141315,330156,Bulgaria,First
"July 04, 2021",18335,48929,301935,147740,346327,Bulgaria,First
"July 11, 2021",18335,50551,317764,156209,369522,Bulgaria,First
"July 18, 2021",18335,51765,332578,164521,394546,Bulgaria,First
"July 25, 2021",18335,52837,345943,172718,422373,Bulgaria,First
"August 01, 2021",18335,54083,360489,181667,454310,Bulgaria,First
"August 08, 2021",18335,55590,378329,191808,479113,Bulgaria,First
"August 15, 2021",18335,56977,394899,201477,502062,Bulgaria,First
"August 22, 2021",18335,57432,401677,205437,508062,Bulgaria,First
"August 29, 2021",18335,58273,411794,212853,531552,Bulgaria,First
"September 05, 2021",18335,59309,425794,223887,568913,Bulgaria,First
"September 12, 2021",18335,61009,447708,239949,611636,Bulgaria,First
"September 19, 2021",18335,61790,462517,250289,623241,Bulgaria,First
