ReportingWeek,x_18Years,x18_24Years,x25_49Years,x50_59Years,x60_69Years,x70_79Years,x80_Years,Country,Dose
"December 27, 2020",5,83,1246,1006,577,553,1652,Austria,First
"January 3, 2021",29,867,11573,7517,3286,2070,5829,Austria,First
"January 10, 2021",105,3092,35503,25297,13213,9924,28673,Austria,First
"January 17, 2021",142,6048,65068,43983,21476,16551,55679,Austria,First
"January 24, 2021",149,7202,74151,49470,24181,18166,66934,Austria,First
"January 31, 2021",170,8009,80538,53835,26095,19318,70733,Austria,First
"February 7, 2021",193,10583,91433,60157,28811,20942,75114,Austria,First
"February 14, 2021",239,13942,111528,71880,33917,23403,95578,Austria,First
"February 21, 2021",297,20556,144310,90096,42709,27173,131724,Austria,First
"February 28, 2021",359,25978,176592,110556,54126,35228,207811,Austria,First
"March 7, 2021",1059,35645,237931,145488,82468,62703,272372,Austria,First
"March 14, 2021",1249,40515,278331,173174,111672,106291,316714,Austria,First
"March 21, 2021",1369,44978,314601,198664,135959,146215,340620,Austria,First
"March 28, 2021",1444,47490,331734,212868,152655,207288,371530,Austria,First
"April 4, 2021",1562,49770,348835,228418,200743,311202,398792,Austria,First
"April 11, 2021",1780,53171,381871,258953,281512,419468,418048,Austria,First
"April 18, 2021",2249,59267,434054,311328,380733,490563,427336,Austria,First
"April 25, 2021",2733,67657,490987,377999,497242,522824,433273,Austria,First
"May 2, 2021",3584,80898,584525,475771,584969,549612,440096,Austria,First
"May 9, 2021",4733,96209,685708,584675,649717,564604,444436,Austria,First
"May 16, 2021",7090,114708,830198,681403,715483,579254,449137,Austria,First
"May 23, 2021",9228,133078,950232,741183,746804,586711,451755,Austria,First
"May 30, 2021",14685,160900,1102869,808794,770997,593494,454326,Austria,First
"June 6, 2021",24701,195603,1245254,871650,785043,598666,456452,Austria,First
"June 13, 2021",41837,226504,1375748,909174,798030,603888,458716,Austria,First
"June 20, 2021",64612,255638,1489611,929075,806946,607784,460422,Austria,First
"June 27, 2021",91530,280737,1578132,946004,815320,611636,462196,Austria,First
"July 4, 2021",107313,307073,1635257,959574,822328,614726,463609,Austria,First
"July 11, 2021",129634,320707,1668895,969619,827753,617330,464784,Austria,First
"July 18, 2021",141507,332134,1700261,978729,832778,619847,466028,Austria,First
"July 25, 2021",150475,338538,1716830,983674,835795,621444,466931,Austria,First
"August 1, 2021",159246,344129,1731894,988359,838466,622817,467652,Austria,First
"August 8, 2021",165085,347609,1741897,991545,840406,623784,468182,Austria,First
"August 15, 2021",172095,351494,1753625,995122,842472,624856,468883,Austria,First
