ReportingWeek,x0_4Years,x5_9Years,x10_14Years,x15_17Years,x18_24Years,x25_49Years,x50_59Years,x60_Years
"December 06, 2020",0,0,0,0,0,0,0,0
"December 13, 2020",0,0,0,0,0,0,0,0
"December 20, 2020",0,0,0,0,0,0,0,0
"December 27, 2020",0,0,0,0,0,0,0,0
"January 03, 2021",0,0,0,0,0,0.01,0.01,0.01
"January 10, 2021",0,0,0,0,0.01,0.02,0.02,0.02
"January 17, 2021",0,0,0,0,0.01,0.02,0.03,0.03
"January 24, 2021",0,0,0,0,0.01,0.02,0.04,0.04
"January 31, 2021",0,0,0,0,0.01,0.03,0.04,0.05
"February 07, 2021",0,0,0,0,0.02,0.03,0.04,0.06
"February 14, 2021",0,0,0,0,0.02,0.03,0.05,0.08
"February 21, 2021",0,0,0,0,0.02,0.04,0.06,0.12
"February 28, 2021",0,0,0,0,0.02,0.05,0.08,0.15
"March 07, 2021",0,0,0,0,0.03,0.06,0.09,0.2
"March 14, 2021",0,0,0,0,0.03,0.06,0.09,0.24
"March 21, 2021",0,0,0,0,0.03,0.07,0.11,0.29
"March 28, 2021",0,0,0,0,0.04,0.07,0.12,0.35
"April 04, 2021",0,0,0,0,0.04,0.08,0.13,0.42
"April 11, 2021",0,0,0,0,0.04,0.1,0.15,0.5
"April 18, 2021",0,0,0,0,0.05,0.11,0.18,0.56
"April 25, 2021",0,0,0,0,0.06,0.12,0.24,0.65
"May 02, 2021",0,0,0,0,0.07,0.14,0.31,0.7
"May 09, 2021",0,0,0,0,0.08,0.18,0.41,0.74
"May 16, 2021",0,0,0,0.01,0.1,0.22,0.47,0.78
"May 23, 2021",0,0,0,0.01,0.13,0.27,0.51,0.8
"May 30, 2021",0,0,0,0.01,0.17,0.32,0.58,0.81
"June 06, 2021",0,0,0,0.04,0.21,0.36,0.65,0.82
"June 13, 2021",0,0,0,0.07,0.24,0.41,0.67,0.83
"June 20, 2021",0,0,0,0.1,0.29,0.43,0.69,0.84
"June 27, 2021",0,0,0,0.14,0.36,0.47,0.7,0.85
"July 04, 2021",0,0,0.01,0.2,0.39,0.55,0.72,0.85
"July 11, 2021",0,0,0.02,0.24,0.41,0.59,0.74,0.85
"July 18, 2021",0,0,0.02,0.26,0.47,0.6,0.76,0.86
"July 25, 2021",0,0,0.04,0.29,0.48,0.62,0.77,0.87
"August 01, 2021",0,0,0.06,0.33,0.55,0.65,0.79,0.87
"August 08, 2021",0,0,0.11,0.43,0.56,0.67,0.79,0.87
"August 15, 2021",0,0,0.14,0.45,0.57,0.68,0.8,0.87
"August 22, 2021",0,0,0.16,0.47,0.58,0.68,0.8,0.88
"August 29, 2021",0,0,0.17,0.48,0.6,0.69,0.8,0.88
"September 05, 2021",0,0,0.17,0.49,0.61,0.7,0.81,0.88
"September 12, 2021",0,0,0.18,0.51,0.62,0.71,0.81,0.89
"September 19, 2021",0,0,0.19,0.53,0.63,0.72,0.81,0.89
"September 26, 2021",0,0,0.2,0.54,0.64,0.72,0.81,0.89
"October 03, 2021",0,0,0.2,0.55,0.64,0.73,0.82,0.89
"October 10, 2021",0,0,0.21,0.56,0.66,0.74,0.82,0.9
"October 17, 2021",0,0,0.22,0.57,0.69,0.75,0.82,0.9
"October 24, 2021",0,0,0.23,0.59,0.71,0.76,0.83,0.9
"October 31, 2021",0,0,0.24,0.61,0.73,0.76,0.83,0.9
"November 07, 2021",0,0,0.26,0.65,0.73,0.77,0.84,0.91
"November 14, 2021",0,0,0.28,0.68,0.74,0.78,0.84,0.91
"November 21, 2021",0,0,0.3,0.7,0.74,0.78,0.84,0.92
"November 28, 2021",0,0,0.32,0.71,0.75,0.79,0.85,0.92
"December 05, 2021",0,0,0.33,0.71,0.75,0.79,0.85,0.92
