ReportingWeek,x0_4Years,x5_9Years,x10_14Years,x15_17Years,x18_24Years,x25_49Years,x50_59Years,x60_Years
"December 20, 2020",0,0,0,0,0,0,0,0
"December 27, 2020",0,0,0,0,0,0,0,0
"January 03, 2021",0,0,0,0,0,0,0,0
"January 10, 2021",0,0,0,0,0,0,0,0
"January 17, 2021",0,0,0,0,0,0,0,0
"January 24, 2021",0,0,0,0,0,0.01,0.01,0.01
"January 31, 2021",0,0,0,0,0,0.01,0.02,0.02
"February 07, 2021",0,0,0,0,0.01,0.02,0.02,0.03
"February 14, 2021",0,0,0,0,0.01,0.02,0.03,0.04
"February 21, 2021",0,0,0,0,0.01,0.02,0.03,0.04
"February 28, 2021",0,0,0,0,0.01,0.03,0.04,0.06
"March 07, 2021",0,0,0,0,0.01,0.03,0.04,0.07
"March 14, 2021",0,0,0,0,0.01,0.03,0.04,0.09
"March 21, 2021",0,0,0,0,0.01,0.03,0.05,0.11
"March 28, 2021",0,0,0,0,0.01,0.03,0.05,0.14
"April 04, 2021",0,0,0,0,0.02,0.03,0.05,0.17
"April 11, 2021",0,0,0,0,0.02,0.04,0.05,0.19
"April 18, 2021",0,0,0,0,0.02,0.04,0.06,0.22
"April 25, 2021",0,0,0,0,0.02,0.05,0.06,0.26
"May 02, 2021",0,0,0,0,0.02,0.05,0.09,0.31
"May 09, 2021",0,0,0,0,0.03,0.06,0.1,0.36
"May 16, 2021",0,0,0,0,0.03,0.07,0.13,0.41
"May 23, 2021",0,0,0,0,0.04,0.09,0.17,0.46
"May 30, 2021",0,0,0,0,0.06,0.11,0.23,0.52
"June 06, 2021",0,0,0,0,0.07,0.14,0.31,0.58
"June 13, 2021",0,0,0,0,0.09,0.18,0.37,0.62
"June 20, 2021",0,0,0,0.01,0.13,0.22,0.42,0.68
"June 27, 2021",0,0,0,0.01,0.14,0.27,0.49,0.7
"July 04, 2021",0,0,0,0.01,0.19,0.32,0.53,0.72
"July 11, 2021",0,0,0,0.02,0.23,0.37,0.6,0.75
"July 18, 2021",0,0,0,0.04,0.28,0.41,0.64,0.79
"July 25, 2021",0,0,0,0.08,0.34,0.46,0.66,0.82
"August 01, 2021",0,0,0.01,0.15,0.38,0.5,0.67,0.83
"August 08, 2021",0,0,0.01,0.18,0.42,0.53,0.68,0.84
"August 15, 2021",0,0,0.03,0.2,0.43,0.55,0.71,0.85
"August 22, 2021",0,0,0.05,0.26,0.47,0.58,0.72,0.85
"August 29, 2021",0,0,0.08,0.37,0.51,0.6,0.74,0.85
"September 05, 2021",0,0,0.13,0.39,0.53,0.63,0.75,0.86
"September 12, 2021",0,0,0.14,0.42,0.56,0.65,0.76,0.86
"September 19, 2021",0,0,0.15,0.44,0.57,0.66,0.77,0.86
"September 26, 2021",0,0,0.16,0.46,0.58,0.68,0.78,0.86
"October 03, 2021",0,0,0.17,0.48,0.58,0.69,0.78,0.87
"October 10, 2021",0,0,0.18,0.5,0.6,0.7,0.79,0.87
"October 17, 2021",0,0,0.19,0.51,0.62,0.7,0.79,0.87
"October 24, 2021",0,0,0.19,0.52,0.64,0.71,0.79,0.87
"October 31, 2021",0,0,0.2,0.53,0.66,0.72,0.8,0.87
"November 07, 2021",0,0,0.21,0.54,0.68,0.73,0.8,0.88
"November 14, 2021",0,0,0.22,0.56,0.68,0.73,0.8,0.88
"November 21, 2021",0,0,0.23,0.57,0.69,0.74,0.81,0.88
"November 28, 2021",0,0,0.24,0.6,0.69,0.75,0.82,0.89
"December 05, 2021",0,0,0.24,0.61,0.69,0.75,0.83,0.89
