Country,Total #Delta GK (B.1.617.2+AY.*),#Delta GK (B.1.617.2+AY.*) in past 4 weeks,Percentage
USA,"1,109,042","56,011",97.4
United Kingdom,"975,779","140,828",99.5
Germany,"149,858","22,524",99.6
Denmark,"125,021","27,636",100
Canada,"91,799","3,452",94.1
Japan,"87,930",55,93.2
France,"87,562","4,973",91.2
India,"54,294",319,81.2
Turkey,"53,544","2,164",93
Switzerland,"47,537","6,138",99.4
Sweden,"45,449","3,423",99
Belgium,"36,487","2,348",88.1
Italy,"33,941","2,784",90
Spain,"31,628","1,517",94.6
Netherlands,"31,367","1,228",44.9
Brazil,"27,434",802,98.2
Australia,"24,542","1,581",97.8
Republic of Ireland,"23,969",274,97.9
Mexico,"19,684",406,99.8
Slovenia,"16,557",398,99.5
Israel,"16,376","2,277",89.7
Norway,"15,604",482,86.4
Poland,"15,569","1,961",100
Portugal,"13,303","1,273",98.3
South Africa,"11,092",47,7.6
Czech Republic,"10,947",720,99.7
Slovakia,"10,398",456,99.8
Lithuania,"10,306",371,99.7
Finland,"9,235",1,50
South Korea,"8,617",0,0
Singapore,"7,961",627,98.9
Austria,"7,860",135,21.5
Luxembourg,"7,101","1,113",99.9
Chile,"6,734",195,95.6
Bulgaria,"6,574",5,100
Croatia,"6,507",9,90
Indonesia,"5,680",22,64.7
Russia,"5,542",62,93.9
Thailand,"5,184",22,88
Romania,"4,839",97,98
Malaysia,"4,521",65,26
Iceland,"3,767",0,0
New Zealand,"3,436",240,100
Peru,"3,308",16,94.1
Philippines,"3,220",0,0
Greece,"3,049",175,88.8
Estonia,"3,021",0,0
Puerto Rico,"2,535",10,100
Nigeria,"2,075",29,78.4
Bahrain,"2,013",32,100
Kenya,"1,902",3,100
Colombia,"1,797",3,100
Vietnam,"1,734",11,100
Aruba,"1,631",3,8.6
Qatar,"1,487",0,0
Reunion,"1,413",8,88.9
Bangladesh,"1,397",21,91.3
Sint Maarten,"1,248",4,100
Gibraltar,"1,190",335,100
Sri Lanka,"1,187",99,99
Botswana,"1,176",83,76.9
Ecuador,"1,023",85,92.4
Cambodia,948,219,99.5
Kosovo,897,0,0
Costa Rica,826,53,100
Pakistan,750,7,100
Papua New Guinea,717,0,0
Maldives,679,52,98.1
Argentina,671,22,44
Ghana,628,16,32.7
Bosnia and Herzegovina,590,0,0
Fiji,507,0,0
Curacao,495,0,0
Hong Kong,493,41,70.7
Seychelles,493,0,0
Bonaire,490,5,5.2
Martinique,442,0,0
Ethiopia,424,0,0
Georgia,424,74,100
Jordan,406,45,95.7
Guadeloupe,372,0,0
Mozambique,357,0,0
Guatemala,357,0,0
Zambia,356,0,0
Malawi,346,0,0
Uganda,340,0,0
French Guiana,331,28,100
Trinidad and Tobago,328,20,100
U.S. Virgin Islands,321,6,100
Gambia,316,0,0
Nepal,312,25,86.2
Rwanda,293,0,0
Cameroon,282,0,0
Montenegro,266,3,100
Malta,236,11,100
Ukraine,231,1,100
Paraguay,228,0,0
Democratic Republic of the Congo,228,0,0
Guam,224,0,0
Benin,204,0,0
Kuwait,191,0,0
Kazakhstan,167,0,0
Angola,159,0,0
Oman,159,0,0
Suriname,150,0,0
Zimbabwe,142,0,0
Morocco,138,0,0
Dominican Republic,131,0,0
Togo,130,0,0
Liechtenstein,115,15,100
Republic of the Congo,113,2,25
Namibia,110,0,0
Brunei,105,1,100
Senegal,104,0,0
China,100,0,0
Belize,98,0,0
Egypt,98,0,0
Northern Mariana Islands,89,0,0
North Macedonia,86,0,0
Mayotte,83,0,0
Eswatini,81,0,0
Lebanon,80,0,0
Monaco,76,0,0
Latvia,73,0,0
Mauritius,67,0,0
Antigua and Barbuda,62,0,0
Guinea-Bissau,62,0,0
Jamaica,60,0,0
Djibouti,60,0,0
Serbia,59,0,0
Burundi,57,0,0
Liberia,56,0,0
Armenia,50,0,0
Myanmar,49,12,100
Uzbekistan,47,0,0
Guyana,45,0,0
The Bahamas,38,0,0
Cayman Islands,37,0,0
Timor-Leste,33,0,0
French Polynesia,30,0,0
South Sudan,29,0,0
United Arab Emirates,28,0,0
Gabon,27,0,0
Algeria,25,0,0
Andorra,25,0,0
Mongolia,24,0,0
Barbados,23,0,0
Iran,23,0,0
Sierra Leone,22,0,0
Saudi Arabia,22,0,0
Burkina Faso,21,0,0
Afghanistan,20,0,0
Guinea,19,0,0
Albania,18,0,0
Central African Republic,17,0,0
Anguilla,16,0,0
Taiwan,15,0,0
Equatorial Guinea,14,0,0
Iraq,14,0,0
Saint Lucia,13,0,0
Saint Barthelemy,12,0,0
Comoros,11,0,0
Moldova,11,0,0
Montserrat,7,0,0
Bermuda,7,0,0
Lesotho,5,0,0
British Virgin Islands,5,0,0
Turks and Caicos Islands,4,0,0
Venezuela,4,0,0
England,3,0,0
Grenada,3,0,0
Mali,2,0,0
Azerbaijan,2,0,0
Honduras,2,0,0
El Salvador,2,0,0
Palau,2,0,0
Saint Vincent and the Grenadines,2,0,0
Tunisia,1,0,0
Belarus,1,0,0
Saint Kitts and Nevis,1,0,0
Slovak Republic,1,0,0
Haiti,1,0,0
Panama,1,0,0
Cyprus,1,0,0
