"TIME","AGE","GEO","DURATION","PARTNER","UNIT","Value","Flag and Footnotes"
"2017","From 15 to 24 years","European Union - 28 countries (2013-2020)","1 night or over","All countries of the world","Number","37 499 278",""
"2017","From 15 to 24 years","Belgium","1 night or over","All countries of the world","Number","842 828","b"
"2017","From 15 to 24 years","Bulgaria","1 night or over","All countries of the world","Number","343 299",""
"2017","From 15 to 24 years","Czechia","1 night or over","All countries of the world","Number","914 942",""
"2017","From 15 to 24 years","Denmark","1 night or over","All countries of the world","Number","525 574","e"
"2017","From 15 to 24 years","Germany (until 1990 former territory of the FRG)","1 night or over","All countries of the world","Number","6 495 701",""
"2017","From 15 to 24 years","Estonia","1 night or over","All countries of the world","Number","118 006","u"
"2017","From 15 to 24 years","Ireland","1 night or over","All countries of the world","Number","435 224",""
"2017","From 15 to 24 years","Greece","1 night or over","All countries of the world","Number","438 916",""
"2017","From 15 to 24 years","Spain","1 night or over","All countries of the world","Number","3 839 237",""
"2017","From 15 to 24 years","France","1 night or over","All countries of the world","Number","5 428 903",""
"2017","From 15 to 24 years","Croatia","1 night or over","All countries of the world","Number","306 741",""
"2017","From 15 to 24 years","Italy","1 night or over","All countries of the world","Number","2 883 173",""
"2017","From 15 to 24 years","Cyprus","1 night or over","All countries of the world","Number","100 417","e"
"2017","From 15 to 24 years","Latvia","1 night or over","All countries of the world","Number","133 955",""
"2017","From 15 to 24 years","Lithuania","1 night or over","All countries of the world","Number","263 425",""
"2017","From 15 to 24 years","Luxembourg","1 night or over","All countries of the world","Number","62 108",""
"2017","From 15 to 24 years","Hungary","1 night or over","All countries of the world","Number","582 918",""
"2017","From 15 to 24 years","Malta","1 night or over","All countries of the world","Number","42 447",""
"2017","From 15 to 24 years","Netherlands","1 night or over","All countries of the world","Number","1 854 213",""
"2017","From 15 to 24 years","Austria","1 night or over","All countries of the world","Number","834 794",""
"2017","From 15 to 24 years","Poland","1 night or over","All countries of the world","Number","3 435 174",""
"2017","From 15 to 24 years","Portugal","1 night or over","All countries of the world","Number","505 752",""
