CountryQ,qCountry_1,qCountry_2,qCountry_3,qCountry_4,qCountry_5,qCountry_6,qCountry_7,qCountry_8,qCountry_9,qCountry_10,qCountry_11,qCountry_12,qCountry_13,qCountry_14,qCountry_15,qCountry_16,qCountry_17,qCountry_18,qCountry_19,qCountry_20,qCountry_21,qCountry_22,qCountry_23,qCountry_24,qCountry_25,qCountry_26,qCountry_27,qCountry_28,qCountry_29,qCountry_30
Austria,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,4,5,5,5
Belgium,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3
Bulgaria,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,1,1,1,1,0,0,0,1,0,1,1,1,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6,7
Finland,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
France,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,2,3,3
Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5
Hungary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Italy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,1,1,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
Romania,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Slovakia,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2
Sweden,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Switzerland,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Turkey,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,1,0,0,0
